Depth,Wk,Code,Site_long,Site,Date,Temp,Sal,O2,Secchi
0,0,21,Brazil: Arraial do Cabo,ADC,2/8/2019,25,36,,5
1,0,21,Brazil: Arraial do Cabo,ADC,2/8/2019,25,36,,
0,2,21,Brazil: Arraial do Cabo,ADC,2/22/2019,26,36,,6
1,2,21,Brazil: Arraial do Cabo,ADC,2/22/2019,26,36,,
0,4,21,Brazil: Arraial do Cabo,ADC,3/7/2019,27,36,,6
1,4,21,Brazil: Arraial do Cabo,ADC,3/7/2019,27,36,,
0,6,21,Brazil: Arraial do Cabo,ADC,3/22/2019,27,37,,6
1,6,21,Brazil: Arraial do Cabo,ADC,3/22/2019,27,37,,
0,8,21,Brazil: Arraial do Cabo,ADC,4/4/2019,26,36,,5
1,8,21,Brazil: Arraial do Cabo,ADC,4/4/2019,26,36,,
0,10,21,Brazil: Arraial do Cabo,ADC,4/18/2019,24,38,,
1,10,21,Brazil: Arraial do Cabo,ADC,4/18/2019,24,38,,
0,12,21,Brazil: Arraial do Cabo,ADC,5/1/2019,25.5,35,,5
1,12,21,Brazil: Arraial do Cabo,ADC,5/1/2019,25.5,35,,
0,2,104,Bocas2017,BO17,14/07/2017,29.4,32,6.5,
1,2,104,Bocas2017,BO17,14/07/2017,29.3,32.1,5.9,8
0,4,104,Bocas2017,BO17,28/07/2017,29.2,25.1,6.81,10
1,4,104,Bocas2017,BO17,28/07/2017,29.2,30.9,4.32,
0,6,104,Bocas2017,BO17,14/08/2017,27.9,31.2,4.61,10
1,6,104,Bocas2017,BO17,14/08/2017,28.1,31.1,3.66,
0,8,104,Bocas2017,BO17,28/08/2017,28.1,32.1,3.33,
1,8,104,Bocas2017,BO17,28/08/2017,28.6,31.6,2.81,
0,10,104,Bocas2017,BO17,8/9/2017,30.1,32.2,3.81,
1,10,104,Bocas2017,BO17,8/9/2017,30.1,32.1,4.41,
0,12,104,Bocas2017,BO17,22/09/2017,30.5,32.9,4.1,
1,12,104,Bocas2017,BO17,22/09/2017,30.6,33.7,3.68,
0,0,41,Bocas2019,BO19,8/15/2019,28.6,31.19,6.07,1.8
1,0,41,Bocas2019,BO19,8/15/2019,28.7,32.3,5.71,
2,0,41,Bocas2019,BO19,8/15/2019,28.8,32.5,5.76,
0,2,41,Bocas2019,BO19,8/29/2019,29.3,32.75,5.27,1.6
1,2,41,Bocas2019,BO19,8/29/2019,29.4,32.9,5.28,
2,2,41,Bocas2019,BO19,8/29/2019,29.4,32.9,5.79,
0,4,41,Bocas2019,BO19,9/12/2019,28.2,31.5,5.7,1.6
1,4,41,Bocas2019,BO19,9/12/2019,28.7,32.9,5.82,
2,4,41,Bocas2019,BO19,9/12/2019,28.8,33.7,6.01,
0,6,41,Bocas2019,BO19,9/26/2019,30.4,33.7,5.86,1.7
1,6,41,Bocas2019,BO19,9/26/2019,30.4,33.7,4.61,
2,6,41,Bocas2019,BO19,9/26/2019,30.4,33.7,4.78,
0,8,41,Bocas2019,BO19,10/10/2019,30.3,34.2,6.44,1.7
1,8,41,Bocas2019,BO19,10/10/2019,30.2,34.2,6.06,
2,8,41,Bocas2019,BO19,10/10/2019,30.2,34.2,5.25,
0,10,41,Bocas2019,BO19,10/24/2019,30.3,34.1,6.34,1.7
1,10,41,Bocas2019,BO19,10/24/2019,30.1,34,6.19,
2,10,41,Bocas2019,BO19,10/24/2019,30,34,6.37,
0,12,41,Bocas2019,BO19,11/6/2019,28.2,31.5,5.11,1.7
1,12,41,Bocas2019,BO19,11/6/2019,28.6,32.8,4.99,
2,12,41,Bocas2019,BO19,11/6/2019,28.7,32.9,4.43,
0,0,5,CorpusChristi,CCH,13/06/2018,30.72,36.92,5,0.5
1,0,5,CorpusChristi,CCH,13/06/2018,30.67,36.89,5.22,
2,0,5,CorpusChristi,CCH,13/06/2018,30.56,36.89,5.06,
0,2,5,CorpusChristi,CCH,26/06/2018,29.1,33.87,4.93,0.5
1,2,5,CorpusChristi,CCH,26/06/2018,29.33,34.15,4.94,
2,2,5,CorpusChristi,CCH,26/06/2018,29.36,34.16,4.78,
0,4,5,CorpusChristi,CCH,11/7/2018,29.48,35,5.95,0.5
1,4,5,CorpusChristi,CCH,11/7/2018,29.51,34.95,5.39,
2,4,5,CorpusChristi,CCH,11/7/2018,29.5,34.93,5.29,
0,6,5,CorpusChristi,CCH,25/07/2018,28.7,36.82,5.39,0.6
1,6,5,CorpusChristi,CCH,25/07/2018,28.68,36.86,3.84,
2,6,5,CorpusChristi,CCH,25/07/2018,28.68,36.87,3.83,
0,8,5,CorpusChristi,CCH,8/8/2018,30.39,37.55,6.16,0.5
1,8,5,CorpusChristi,CCH,8/8/2018,30.37,37.41,4.46,
2,8,5,CorpusChristi,CCH,8/8/2018,30.37,37.32,4.45,
0,10,5,CorpusChristi,CCH,22/08/2018,30.35,37.43,4.45,0.6
1,10,5,CorpusChristi,CCH,22/08/2018,30.35,37.45,4.48,
2,10,5,CorpusChristi,CCH,22/08/2018,30.37,37.44,4.52,
0,12,5,CorpusChristi,CCH,6/9/2018,30.4,37.7,5.08,0.7
1,12,5,CorpusChristi,CCH,6/9/2018,30.46,37.77,4.13,
2,12,5,CorpusChristi,CCH,6/9/2018,30.47,37.78,3.97,
0,0,22,Concepcion,CCP,1/25/2019,14.3,37.2,6.21,3.25
1,0,22,Concepcion,CCP,1/25/2019,13.9,37.1,5.9,
2,0,22,Concepcion,CCP,1/25/2019,13.7,37.1,5.91,
0,2,22,Concepcion,CCP,2/9/2019,14.9,36.8,6.4,3
1,2,22,Concepcion,CCP,2/9/2019,14.1,36.9,5.98,
2,2,22,Concepcion,CCP,2/9/2019,13.5,36.5,5.92,
0,4,22,Concepcion,CCP,2/22/2019,15.8,34.3,4.4,3
1,4,22,Concepcion,CCP,2/22/2019,15.5,34.2,4.37,
2,4,22,Concepcion,CCP,2/22/2019,15.3,34.1,4.36,
0,6,22,Concepcion,CCP,3/8/2019,16.1,32.22,7.62,
1,6,22,Concepcion,CCP,3/8/2019,15.7,32.14,8.94,
2,6,22,Concepcion,CCP,3/8/2019,15.5,32.41,8.09,
0,8,22,Concepcion,CCP,3/22/2019,14.26,33.37,10.3,3
1,8,22,Concepcion,CCP,3/22/2019,14.08,33.63,8.46,
2,8,22,Concepcion,CCP,3/22/2019,13.92,33.54,8.23,
0,10,22,Concepcion,CCP,4/12/2019,13.41,33.55,10.33,
1,10,22,Concepcion,CCP,4/12/2019,13.32,33.73,10.45,
2,10,22,Concepcion,CCP,4/12/2019,13.11,33.75,10.95,
0,12,22,Concepcion,CCP,4/26/2019,13.89,34.12,10.23,3.5
1,12,22,Concepcion,CCP,4/26/2019,13.42,34.19,10.2,
2,12,22,Concepcion,CCP,4/26/2019,13.22,34.18,10.95,
0,0,2,Colombia,COL,5/7/2018,26.88,31.77,3.62,3.1
