Plot Title: PanAmEx BOCAS Summer 2019 SN#20462603,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 20462603, SEN S/N: 20462603)",Coupler Detached (LGR S/N: 20462603),Coupler Attached (LGR S/N: 20462603),Host Connected (LGR S/N: 20462603),Stopped (LGR S/N: 20462603),End Of File (LGR S/N: 20462603)
7,8/15/2019 20:50,28.853,,,,,
8,8/15/2019 21:20,28.853,,,,,
9,8/15/2019 21:50,28.853,,,,,
10,8/15/2019 22:20,28.853,,,,,
11,8/15/2019 22:50,28.953,,,,,
12,8/15/2019 23:20,28.853,,,,,
13,8/15/2019 23:50,28.754,,,,,
14,8/16/2019 0:20,28.754,,,,,
15,8/16/2019 0:50,28.655,,,,,
16,8/16/2019 1:20,28.655,,,,,
17,8/16/2019 1:50,28.555,,,,,
18,8/16/2019 2:20,28.555,,,,,
19,8/16/2019 2:50,28.655,,,,,
20,8/16/2019 3:20,28.555,,,,,
21,8/16/2019 3:50,28.754,,,,,
22,8/16/2019 4:20,28.953,,,,,
23,8/16/2019 4:50,28.853,,,,,
24,8/16/2019 5:20,28.853,,,,,
25,8/16/2019 5:50,28.555,,,,,
26,8/16/2019 6:20,28.456,,,,,
27,8/16/2019 6:50,28.555,,,,,
28,8/16/2019 7:20,28.357,,,,,
29,8/16/2019 7:50,28.06,,,,,
30,8/16/2019 8:20,28.06,,,,,
31,8/16/2019 8:50,27.961,,,,,
32,8/16/2019 9:20,28.06,,,,,
33,8/16/2019 9:50,28.06,,,,,
34,8/16/2019 10:20,27.961,,,,,
35,8/16/2019 10:50,27.665,,,,,
36,8/16/2019 11:20,27.567,,,,,
37,8/16/2019 11:50,27.567,,,,,
38,8/16/2019 12:20,27.567,,,,,
39,8/16/2019 12:50,27.567,,,,,
40,8/16/2019 13:20,27.665,,,,,
41,8/16/2019 13:50,27.764,,,,,
42,8/16/2019 14:20,27.862,,,,,
43,8/16/2019 14:50,27.862,,,,,
44,8/16/2019 15:20,27.961,,,,,
45,8/16/2019 15:50,28.06,,,,,
46,8/16/2019 16:20,28.357,,,,,
47,8/16/2019 16:50,28.357,,,,,
48,8/16/2019 17:20,28.357,,,,,
49,8/16/2019 17:50,28.456,,,,,
50,8/16/2019 18:20,28.555,,,,,
51,8/16/2019 18:50,28.655,,,,,
52,8/16/2019 19:20,28.754,,,,,
53,8/16/2019 19:50,28.754,,,,,
54,8/16/2019 20:20,28.853,,,,,
55,8/16/2019 20:50,28.853,,,,,
56,8/16/2019 21:20,28.853,,,,,
57,8/16/2019 21:50,28.853,,,,,
58,8/16/2019 22:20,28.754,,,,,
59,8/16/2019 22:50,28.655,,,,,
60,8/16/2019 23:20,28.655,,,,,
61,8/16/2019 23:50,28.555,,,,,
62,8/17/2019 0:20,28.555,,,,,
63,8/17/2019 0:50,28.456,,,,,
64,8/17/2019 1:20,28.357,,,,,
65,8/17/2019 1:50,28.357,,,,,
66,8/17/2019 2:20,28.357,,,,,
67,8/17/2019 2:50,28.258,,,,,
68,8/17/2019 3:20,28.258,,,,,
69,8/17/2019 3:50,28.258,,,,,
70,8/17/2019 4:20,28.258,,,,,
71,8/17/2019 4:50,28.258,,,,,
72,8/17/2019 5:20,28.258,,,,,
73,8/17/2019 5:50,28.159,,,,,
74,8/17/2019 6:20,28.159,,,,,
75,8/17/2019 6:50,28.159,,,,,
76,8/17/2019 7:20,28.159,,,,,
77,8/17/2019 7:50,28.258,,,,,
78,8/17/2019 8:20,28.258,,,,,
79,8/17/2019 8:50,28.159,,,,,
80,8/17/2019 9:20,28.258,,,,,
81,8/17/2019 9:50,28.258,,,,,
82,8/17/2019 10:20,28.159,,,,,
83,8/17/2019 10:50,28.258,,,,,
84,8/17/2019 11:20,28.159,,,,,
85,8/17/2019 11:50,27.862,,,,,
86,8/17/2019 12:20,27.862,,,,,
87,8/17/2019 12:50,27.862,,,,,
88,8/17/2019 13:20,27.764,,,,,
89,8/17/2019 13:50,28.06,,,,,
90,8/17/2019 14:20,28.258,,,,,
91,8/17/2019 14:50,28.456,,,,,
92,8/17/2019 15:20,28.655,,,,,
93,8/17/2019 15:50,29.053,,,,,
94,8/17/2019 16:20,29.752,,,,,
95,8/17/2019 16:50,30.255,,,,,
96,8/17/2019 17:20,30.659,,,,,
97,8/17/2019 17:50,30.154,,,,,
98,8/17/2019 18:20,30.054,,,,,
99,8/17/2019 18:50,29.953,,,,,
100,8/17/2019 19:20,30.054,,,,,
101,8/17/2019 19:50,30.356,,,,,
102,8/17/2019 20:20,29.252,,,,,
103,8/17/2019 20:50,29.152,,,,,
104,8/17/2019 21:20,29.152,,,,,
105,8/17/2019 21:50,29.252,,,,,
106,8/17/2019 22:20,29.252,,,,,
107,8/17/2019 22:50,29.152,,,,,
108,8/17/2019 23:20,29.252,,,,,
109,8/17/2019 23:50,29.152,,,,,
110,8/18/2019 0:20,29.053,,,,,
111,8/18/2019 0:50,29.152,,,,,
112,8/18/2019 1:20,28.853,,,,,
113,8/18/2019 1:50,28.754,,,,,
114,8/18/2019 2:20,28.754,,,,,
115,8/18/2019 2:50,28.754,,,,,
116,8/18/2019 3:20,28.853,,,,,
117,8/18/2019 3:50,28.853,,,,,
118,8/18/2019 4:20,28.555,,,,,
119,8/18/2019 4:50,28.655,,,,,
120,8/18/2019 5:20,28.555,,,,,
121,8/18/2019 5:50,28.754,,,,,
122,8/18/2019 6:20,28.754,,,,,
123,8/18/2019 6:50,28.655,,,,,
124,8/18/2019 7:20,28.853,,,,,
125,8/18/2019 7:50,28.754,,,,,
126,8/18/2019 8:20,28.754,,,,,
127,8/18/2019 8:50,28.754,,,,,
128,8/18/2019 9:20,28.754,,,,,
129,8/18/2019 9:50,28.754,,,,,
130,8/18/2019 10:20,28.754,,,,,
131,8/18/2019 10:50,28.655,,,,,
132,8/18/2019 11:20,28.555,,,,,
133,8/18/2019 11:50,28.456,,,,,
134,8/18/2019 12:20,27.764,,,,,
135,8/18/2019 12:50,27.961,,,,,
136,8/18/2019 13:20,28.159,,,,,
137,8/18/2019 13:50,28.258,,,,,
138,8/18/2019 14:20,28.258,,,,,
139,8/18/2019 14:50,28.754,,,,,
140,8/18/2019 15:20,28.853,,,,,
141,8/18/2019 15:50,29.152,,,,,
142,8/18/2019 16:20,29.552,,,,,
143,8/18/2019 16:50,29.953,,,,,
144,8/18/2019 17:20,30.255,,,,,
145,8/18/2019 17:50,29.853,,,,,
146,8/18/2019 18:20,29.853,,,,,
147,8/18/2019 18:50,29.953,,,,,
148,8/18/2019 19:20,29.953,,,,,
149,8/18/2019 19:50,29.752,,,,,
150,8/18/2019 20:20,29.652,,,,,
151,8/18/2019 20:50,29.652,,,,,
152,8/18/2019 21:20,29.652,,,,,
153,8/18/2019 21:50,29.652,,,,,
154,8/18/2019 22:20,29.552,,,,,
155,8/18/2019 22:50,29.452,,,,,
156,8/18/2019 23:20,29.452,,,,,
157,8/18/2019 23:50,29.352,,,,,
158,8/19/2019 0:20,29.352,,,,,
159,8/19/2019 0:50,29.352,,,,,
160,8/19/2019 1:20,29.352,,,,,
161,8/19/2019 1:50,29.452,,,,,
162,8/19/2019 2:20,29.452,,,,,
163,8/19/2019 2:50,29.352,,,,,
164,8/19/2019 3:20,29.352,,,,,
165,8/19/2019 3:50,29.352,,,,,
166,8/19/2019 4:20,29.352,,,,,
167,8/19/2019 4:50,29.252,,,,,
168,8/19/2019 5:20,29.252,,,,,
169,8/19/2019 5:50,29.152,,,,,
170,8/19/2019 6:20,29.053,,,,,
171,8/19/2019 6:50,29.053,,,,,
172,8/19/2019 7:20,29.053,,,,,
173,8/19/2019 7:50,29.053,,,,,
174,8/19/2019 8:20,29.053,,,,,
175,8/19/2019 8:50,29.053,,,,,
176,8/19/2019 9:20,29.053,,,,,
177,8/19/2019 9:50,28.953,,,,,
178,8/19/2019 10:20,28.953,,,,,
179,8/19/2019 10:50,28.853,,,,,
180,8/19/2019 11:20,28.853,,,,,
181,8/19/2019 11:50,28.853,,,,,
182,8/19/2019 12:20,28.853,,,,,
183,8/19/2019 12:50,28.853,,,,,
184,8/19/2019 13:20,28.853,,,,,
185,8/19/2019 13:50,28.853,,,,,
186,8/19/2019 14:20,28.853,,,,,
187,8/19/2019 14:50,28.953,,,,,
188,8/19/2019 15:20,29.252,,,,,
189,8/19/2019 15:50,29.452,,,,,
190,8/19/2019 16:20,29.452,,,,,
191,8/19/2019 16:50,29.552,,,,,
192,8/19/2019 17:20,29.552,,,,,
193,8/19/2019 17:50,29.552,,,,,
194,8/19/2019 18:20,29.552,,,,,
195,8/19/2019 18:50,29.652,,,,,
196,8/19/2019 19:20,29.752,,,,,
197,8/19/2019 19:50,29.752,,,,,
198,8/19/2019 20:20,29.953,,,,,
199,8/19/2019 20:50,29.953,,,,,
200,8/19/2019 21:20,29.953,,,,,
201,8/19/2019 21:50,29.953,,,,,
202,8/19/2019 22:20,29.953,,,,,
203,8/19/2019 22:50,29.953,,,,,
204,8/19/2019 23:20,29.953,,,,,
205,8/19/2019 23:50,29.853,,,,,
206,8/20/2019 0:20,29.752,,,,,
207,8/20/2019 0:50,29.752,,,,,
208,8/20/2019 1:20,29.652,,,,,
209,8/20/2019 1:50,29.552,,,,,
210,8/20/2019 2:20,29.552,,,,,
211,8/20/2019 2:50,29.552,,,,,
212,8/20/2019 3:20,29.452,,,,,
213,8/20/2019 3:50,29.352,,,,,
214,8/20/2019 4:20,29.452,,,,,
215,8/20/2019 4:50,29.352,,,,,
216,8/20/2019 5:20,29.352,,,,,
217,8/20/2019 5:50,29.352,,,,,
218,8/20/2019 6:20,29.352,,,,,
219,8/20/2019 6:50,29.352,,,,,
220,8/20/2019 7:20,29.252,,,,,
221,8/20/2019 7:50,29.252,,,,,
222,8/20/2019 8:20,29.252,,,,,
223,8/20/2019 8:50,29.152,,,,,
224,8/20/2019 9:20,29.152,,,,,
225,8/20/2019 9:50,29.053,,,,,
226,8/20/2019 10:20,29.053,,,,,
227,8/20/2019 10:50,28.953,,,,,
228,8/20/2019 11:20,28.953,,,,,
229,8/20/2019 11:50,28.953,,,,,
230,8/20/2019 12:20,28.953,,,,,
231,8/20/2019 12:50,28.853,,,,,
232,8/20/2019 13:20,28.853,,,,,
233,8/20/2019 13:50,28.853,,,,,
234,8/20/2019 14:20,28.853,,,,,
235,8/20/2019 14:50,29.152,,,,,
236,8/20/2019 15:20,29.452,,,,,
237,8/20/2019 15:50,29.752,,,,,
238,8/20/2019 16:20,30.054,,,,,
239,8/20/2019 16:50,30.356,,,,,
240,8/20/2019 17:20,30.558,,,,,
241,8/20/2019 17:50,30.76,,,,,
242,8/20/2019 18:20,30.862,,,,,
