Título de trazado: Coquimbo,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20355577, SEN S/N: 20355577)","Coupler Attached (LGR S/N: 20350662, SEN S/N: 20350662)","Host Connected (LGR S/N: 20350662, SEN S/N: 20350662)","Stopped (LGR S/N: 20350662, SEN S/N: 20350662)","End Of File (LGR S/N: 20350662, SEN S/N: 20350662)"
801,2/8/2019 10:00,17.855,,,,
802,2/8/2019 10:30,17.855,,,,
803,2/8/2019 11:00,17.57,,,,
804,2/8/2019 11:30,17.855,,,,
805,2/8/2019 12:00,17.95,,,,
806,2/8/2019 12:30,18.711,,,,
807,2/8/2019 13:00,18.711,,,,
808,2/8/2019 13:30,18.996,,,,
809,2/8/2019 14:00,19.092,,,,
810,2/8/2019 14:30,19.187,,,,
811,2/8/2019 15:00,19.282,,,,
812,2/8/2019 15:30,19.472,,,,
813,2/8/2019 16:00,19.567,,,,
814,2/8/2019 16:30,19.567,,,,
815,2/8/2019 17:00,19.567,,,,
816,2/8/2019 17:30,19.662,,,,
817,2/8/2019 18:00,19.187,,,,
818,2/8/2019 18:30,19.187,,,,
819,2/8/2019 19:00,18.996,,,,
820,2/8/2019 19:30,19.187,,,,
821,2/8/2019 20:00,19.472,,,,
822,2/8/2019 20:30,19.472,,,,
823,2/8/2019 21:00,19.472,,,,
824,2/8/2019 21:30,19.472,,,,
825,2/8/2019 22:00,19.472,,,,
826,2/8/2019 22:30,19.472,,,,
827,2/8/2019 23:00,19.567,,,,
828,2/8/2019 23:30,19.567,,,,
829,2/9/2019 0:00,19.567,,,,
830,2/9/2019 0:30,19.567,,,,
831,2/9/2019 1:00,19.472,,,,
832,2/9/2019 1:30,19.472,,,,
833,2/9/2019 2:00,19.472,,,,
834,2/9/2019 2:30,19.377,,,,
835,2/9/2019 3:00,19.377,,,,
836,2/9/2019 3:30,19.472,,,,
837,2/9/2019 4:00,18.996,,,,
838,2/9/2019 4:30,18.616,,,,
839,2/9/2019 5:00,18.711,,,,
840,2/9/2019 5:30,18.521,,,,
841,2/9/2019 6:00,18.711,,,,
842,2/9/2019 6:30,18.901,,,,
843,2/9/2019 7:00,18.521,,,,
844,2/9/2019 7:30,18.331,,,,
845,2/9/2019 8:00,17.95,,,,
846,2/9/2019 8:30,18.426,,,,
847,2/9/2019 9:00,18.426,,,,
848,2/9/2019 9:30,18.236,,,,
849,2/9/2019 10:00,18.236,,,,
850,2/9/2019 10:30,18.045,,,,
851,2/9/2019 11:00,17.665,,,,
852,2/9/2019 11:30,17.189,,,,
853,2/9/2019 12:00,18.14,,,,
854,2/9/2019 12:30,18.711,,,,
855,2/9/2019 13:00,18.996,,,,
856,2/9/2019 13:30,19.377,,,,
857,2/9/2019 14:00,19.472,,,,
858,2/9/2019 14:30,19.472,,,,
859,2/9/2019 15:00,18.806,,,,
860,2/9/2019 15:30,18.711,,,,
861,2/9/2019 16:00,18.901,,,,
862,2/9/2019 16:30,18.806,,,,
863,2/9/2019 17:00,20.043,,,,
864,2/9/2019 17:30,20.138,,,,
865,2/9/2019 18:00,19.948,,,,
866,2/9/2019 18:30,19.948,,,,
867,2/9/2019 19:00,19.948,,,,
868,2/9/2019 19:30,19.948,,,,
869,2/9/2019 20:00,19.853,,,,
870,2/9/2019 20:30,19.853,,,,
871,2/9/2019 21:00,19.758,,,,
872,2/9/2019 21:30,19.567,,,,
873,2/9/2019 22:00,19.662,,,,
874,2/9/2019 22:30,18.711,,,,
875,2/9/2019 23:00,19.282,,,,
876,2/9/2019 23:30,19.282,,,,
877,2/10/2019 0:00,19.377,,,,
878,2/10/2019 0:30,18.901,,,,
879,2/10/2019 1:00,19.472,,,,
880,2/10/2019 1:30,19.567,,,,
881,2/10/2019 2:00,18.901,,,,
882,2/10/2019 2:30,18.426,,,,
883,2/10/2019 3:00,18.331,,,,
884,2/10/2019 3:30,18.331,,,,
885,2/10/2019 4:00,17.76,,,,
886,2/10/2019 4:30,17.57,,,,
887,2/10/2019 5:00,17.475,,,,
888,2/10/2019 5:30,17.379,,,,
889,2/10/2019 6:00,17.284,,,,
890,2/10/2019 6:30,17.284,,,,
891,2/10/2019 7:00,17.665,,,,
892,2/10/2019 7:30,17.379,,,,
893,2/10/2019 8:00,17.094,,,,
894,2/10/2019 8:30,17.95,,,,
895,2/10/2019 9:00,17.475,,,,
896,2/10/2019 9:30,17.189,,,,
897,2/10/2019 10:00,17.094,,,,
898,2/10/2019 10:30,17.475,,,,
899,2/10/2019 11:00,18.521,,,,
900,2/10/2019 11:30,18.14,,,,
901,2/10/2019 12:00,17.76,,,,
902,2/10/2019 12:30,17.284,,,,
903,2/10/2019 13:00,18.331,,,,
904,2/10/2019 13:30,17.76,,,,
905,2/10/2019 14:00,16.808,,,,
906,2/10/2019 14:30,17.665,,,,
907,2/10/2019 15:00,17.76,,,,
908,2/10/2019 15:30,18.806,,,,
909,2/10/2019 16:00,19.187,,,,
910,2/10/2019 16:30,19.187,,,,
911,2/10/2019 17:00,19.567,,,,
912,2/10/2019 17:30,19.662,,,,
913,2/10/2019 18:00,19.853,,,,
914,2/10/2019 18:30,19.948,,,,
915,2/10/2019 19:00,20.043,,,,
916,2/10/2019 19:30,19.948,,,,
917,2/10/2019 20:00,19.853,,,,
918,2/10/2019 20:30,19.853,,,,
919,2/10/2019 21:00,18.806,,,,
920,2/10/2019 21:30,18.426,,,,
921,2/10/2019 22:00,17.475,,,,
922,2/10/2019 22:30,17.284,,,,
923,2/10/2019 23:00,16.999,,,,
924,2/10/2019 23:30,17.665,,,,
925,2/11/2019 0:00,17.57,,,,
926,2/11/2019 0:30,17.57,,,,
927,2/11/2019 1:00,17.76,,,,
928,2/11/2019 1:30,17.57,,,,
929,2/11/2019 2:00,17.475,,,,
930,2/11/2019 2:30,17.379,,,,
931,2/11/2019 3:00,16.999,,,,
932,2/11/2019 3:30,16.808,,,,
933,2/11/2019 4:00,16.808,,,,
934,2/11/2019 4:30,16.999,,,,
935,2/11/2019 5:00,16.808,,,,
936,2/11/2019 5:30,16.713,,,,
937,2/11/2019 6:00,16.713,,,,
938,2/11/2019 6:30,16.713,,,,
939,2/11/2019 7:00,16.141,,,,
940,2/11/2019 7:30,16.903,,,,
941,2/11/2019 8:00,17.094,,,,
942,2/11/2019 8:30,17.379,,,,
943,2/11/2019 9:00,16.999,,,,
944,2/11/2019 9:30,16.903,,,,
945,2/11/2019 10:00,17.475,,,,
946,2/11/2019 10:30,16.903,,,,
947,2/11/2019 11:00,17.665,,,,
948,2/11/2019 11:30,17.95,,,,
949,2/11/2019 12:00,18.426,,,,
950,2/11/2019 12:30,18.236,,,,
951,2/11/2019 13:00,18.331,,,,
952,2/11/2019 13:30,18.426,,,,
953,2/11/2019 14:00,18.711,,,,
954,2/11/2019 14:30,18.331,,,,
955,2/11/2019 15:00,18.331,,,,
956,2/11/2019 15:30,18.806,,,,
957,2/11/2019 16:00,17.855,,,,
958,2/11/2019 16:30,17.57,,,,
959,2/11/2019 17:00,18.045,,,,
960,2/11/2019 17:30,19.853,,,,
961,2/11/2019 18:00,19.472,,,,
962,2/11/2019 18:30,19.377,,,,
963,2/11/2019 19:00,19.853,,,,
964,2/11/2019 19:30,19.853,,,,
965,2/11/2019 20:00,19.853,,,,
966,2/11/2019 20:30,19.758,,,,
967,2/11/2019 21:00,19.472,,,,
968,2/11/2019 21:30,19.092,,,,
969,2/11/2019 22:00,18.14,,,,
970,2/11/2019 22:30,17.379,,,,
971,2/11/2019 23:00,17.57,,,,
972,2/11/2019 23:30,17.665,,,,
973,2/12/2019 0:00,17.379,,,,
974,2/12/2019 0:30,17.855,,,,
975,2/12/2019 1:00,17.76,,,,
976,2/12/2019 1:30,17.855,,,,
977,2/12/2019 2:00,17.855,,,,
978,2/12/2019 2:30,17.379,,,,
979,2/12/2019 3:00,16.903,,,,
980,2/12/2019 3:30,16.713,,,,
981,2/12/2019 4:00,16.713,,,,
982,2/12/2019 4:30,16.713,,,,
983,2/12/2019 5:00,16.903,,,,
984,2/12/2019 5:30,16.903,,,,
985,2/12/2019 6:00,16.713,,,,
986,2/12/2019 6:30,16.903,,,,
987,2/12/2019 7:00,16.903,,,,
988,2/12/2019 7:30,16.808,,,,
989,2/12/2019 8:00,16.808,,,,
990,2/12/2019 8:30,16.618,,,,
991,2/12/2019 9:00,16.523,,,,
992,2/12/2019 9:30,16.903,,,,
993,2/12/2019 10:00,16.808,,,,
994,2/12/2019 10:30,16.999,,,,
995,2/12/2019 11:00,16.999,,,,
996,2/12/2019 11:30,16.903,,,,
997,2/12/2019 12:00,16.999,,,,
998,2/12/2019 12:30,17.189,,,,
999,2/12/2019 13:00,17.379,,,,
1000,2/12/2019 13:30,17.475,,,,
1001,2/12/2019 14:00,17.57,,,,
1002,2/12/2019 14:30,17.855,,,,
1003,2/12/2019 15:00,18.045,,,,
1004,2/12/2019 15:30,18.236,,,,
1005,2/12/2019 16:00,18.426,,,,
1006,2/12/2019 16:30,18.426,,,,
1007,2/12/2019 17:00,18.521,,,,
1008,2/12/2019 17:30,18.616,,,,
1009,2/12/2019 18:00,18.616,,,,
1010,2/12/2019 18:30,18.711,,,,
1011,2/12/2019 19:00,18.616,,,,
1012,2/12/2019 19:30,18.711,,,,
1013,2/12/2019 20:00,18.616,,,,
1014,2/12/2019 20:30,18.616,,,,
1015,2/12/2019 21:00,18.331,,,,
1016,2/12/2019 21:30,18.331,,,,
1017,2/12/2019 22:00,18.236,,,,
1018,2/12/2019 22:30,18.331,,,,
1019,2/12/2019 23:00,18.236,,,,
1020,2/12/2019 23:30,18.14,,,,
1021,2/13/2019 0:00,18.14,,,,
1022,2/13/2019 0:30,18.14,,,,
1023,2/13/2019 1:00,18.14,,,,
1024,2/13/2019 1:30,18.236,,,,
1025,2/13/2019 2:00,18.331,,,,
1026,2/13/2019 2:30,18.331,,,,
1027,2/13/2019 3:00,18.331,,,,
1028,2/13/2019 3:30,18.331,,,,
1029,2/13/2019 4:00,18.236,,,,
1030,2/13/2019 4:30,18.236,,,,
