Plot Title: 20350657,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20350657, SEN S/N: 20350657)","Coupler Attached (LGR S/N: 20350657, SEN S/N: 20350657)","Host Connected (LGR S/N: 20350657, SEN S/N: 20350657)","Stopped (LGR S/N: 20350657, SEN S/N: 20350657)","End Of File (LGR S/N: 20350657, SEN S/N: 20350657)"
149,6/13/2018 16:00,8.382,,,,
150,6/13/2018 16:30,8.481,,,,
151,6/13/2018 17:00,8.581,,,,
152,6/13/2018 17:30,8.68,,,,
153,6/13/2018 18:00,9.275,,,,
154,6/13/2018 18:30,8.879,,,,
155,6/13/2018 19:00,8.879,,,,
156,6/13/2018 19:30,8.879,,,,
157,6/13/2018 20:00,8.978,,,,
158,6/13/2018 20:30,8.879,,,,
159,6/13/2018 21:00,9.176,,,,
160,6/13/2018 21:30,9.275,,,,
161,6/13/2018 22:00,9.472,,,,
162,6/13/2018 22:30,9.472,,,,
163,6/13/2018 23:00,9.373,,,,
164,6/13/2018 23:30,9.866,,,,
165,6/14/2018 0:00,9.669,,,,
166,6/14/2018 0:30,9.669,,,,
167,6/14/2018 1:00,9.571,,,,
168,6/14/2018 1:30,9.472,,,,
169,6/14/2018 2:00,9.077,,,,
170,6/14/2018 2:30,8.779,,,,
171,6/14/2018 3:00,8.779,,,,
172,6/14/2018 3:30,8.779,,,,
173,6/14/2018 4:00,8.68,,,,
174,6/14/2018 4:30,8.68,,,,
175,6/14/2018 5:00,8.68,,,,
176,6/14/2018 5:30,8.779,,,,
177,6/14/2018 6:00,8.879,,,,
178,6/14/2018 6:30,8.978,,,,
179,6/14/2018 7:00,8.879,,,,
180,6/14/2018 7:30,8.879,,,,
181,6/14/2018 8:00,8.779,,,,
182,6/14/2018 8:30,8.879,,,,
183,6/14/2018 9:00,8.779,,,,
184,6/14/2018 9:30,8.879,,,,
185,6/14/2018 10:00,8.779,,,,
186,6/14/2018 10:30,8.68,,,,
187,6/14/2018 11:00,8.68,,,,
188,6/14/2018 11:30,8.978,,,,
189,6/14/2018 12:00,8.978,,,,
190,6/14/2018 12:30,9.077,,,,
191,6/14/2018 13:00,9.275,,,,
192,6/14/2018 13:30,9.472,,,,
193,6/14/2018 14:00,9.571,,,,
194,6/14/2018 14:30,9.176,,,,
195,6/14/2018 15:00,8.978,,,,
196,6/14/2018 15:30,8.978,,,,
197,6/14/2018 16:00,8.68,,,,
198,6/14/2018 16:30,8.779,,,,
199,6/14/2018 17:00,8.779,,,,
200,6/14/2018 17:30,8.779,,,,
201,6/14/2018 18:00,8.779,,,,
202,6/14/2018 18:30,8.978,,,,
203,6/14/2018 19:00,9.077,,,,
204,6/14/2018 19:30,9.077,,,,
205,6/14/2018 20:00,9.275,,,,
206,6/14/2018 20:30,9.768,,,,
207,6/14/2018 21:00,9.866,,,,
208,6/14/2018 21:30,9.669,,,,
209,6/14/2018 22:00,9.866,,,,
210,6/14/2018 22:30,9.965,,,,
211,6/14/2018 23:00,10.063,,,,
212,6/14/2018 23:30,10.161,,,,
213,6/15/2018 0:00,9.669,,,,
214,6/15/2018 0:30,9.669,,,,
215,6/15/2018 1:00,9.571,,,,
216,6/15/2018 1:30,9.275,,,,
217,6/15/2018 2:00,9.669,,,,
218,6/15/2018 2:30,9.669,,,,
219,6/15/2018 3:00,9.669,,,,
220,6/15/2018 3:30,9.571,,,,
221,6/15/2018 4:00,9.472,,,,
222,6/15/2018 4:30,9.275,,,,
223,6/15/2018 5:00,9.275,,,,
224,6/15/2018 5:30,9.176,,,,
225,6/15/2018 6:00,9.275,,,,
226,6/15/2018 6:30,9.176,,,,
227,6/15/2018 7:00,9.176,,,,
228,6/15/2018 7:30,9.275,,,,
229,6/15/2018 8:00,9.176,,,,
230,6/15/2018 8:30,9.176,,,,
231,6/15/2018 9:00,9.275,,,,
232,6/15/2018 9:30,9.275,,,,
233,6/15/2018 10:00,9.275,,,,
234,6/15/2018 10:30,9.373,,,,
235,6/15/2018 11:00,9.373,,,,
236,6/15/2018 11:30,9.472,,,,
237,6/15/2018 12:00,9.176,,,,
238,6/15/2018 12:30,9.176,,,,
239,6/15/2018 13:00,9.176,,,,
240,6/15/2018 13:30,9.275,,,,
241,6/15/2018 14:00,9.275,,,,
242,6/15/2018 14:30,9.373,,,,
243,6/15/2018 15:00,9.373,,,,
244,6/15/2018 15:30,9.373,,,,
245,6/15/2018 16:00,9.373,,,,
246,6/15/2018 16:30,9.373,,,,
247,6/15/2018 17:00,9.275,,,,
248,6/15/2018 17:30,9.373,,,,
249,6/15/2018 18:00,9.275,,,,
250,6/15/2018 18:30,9.275,,,,
251,6/15/2018 19:00,9.176,,,,
252,6/15/2018 19:30,9.176,,,,
253,6/15/2018 20:00,9.077,,,,
254,6/15/2018 20:30,9.176,,,,
255,6/15/2018 21:00,9.176,,,,
256,6/15/2018 21:30,9.176,,,,
257,6/15/2018 22:00,9.176,,,,
258,6/15/2018 22:30,9.176,,,,
259,6/15/2018 23:00,9.176,,,,
260,6/15/2018 23:30,9.176,,,,
261,6/16/2018 0:00,9.176,,,,
262,6/16/2018 0:30,9.176,,,,
263,6/16/2018 1:00,9.176,,,,
264,6/16/2018 1:30,9.176,,,,
265,6/16/2018 2:00,9.176,,,,
266,6/16/2018 2:30,9.176,,,,
267,6/16/2018 3:00,9.176,,,,
268,6/16/2018 3:30,9.077,,,,
269,6/16/2018 4:00,8.978,,,,
270,6/16/2018 4:30,8.978,,,,
271,6/16/2018 5:00,8.978,,,,
272,6/16/2018 5:30,8.978,,,,
273,6/16/2018 6:00,8.879,,,,
274,6/16/2018 6:30,8.879,,,,
275,6/16/2018 7:00,8.879,,,,
276,6/16/2018 7:30,8.879,,,,
277,6/16/2018 8:00,8.879,,,,
278,6/16/2018 8:30,8.879,,,,
279,6/16/2018 9:00,8.879,,,,
280,6/16/2018 9:30,8.978,,,,
281,6/16/2018 10:00,8.879,,,,
282,6/16/2018 10:30,8.879,,,,
283,6/16/2018 11:00,8.978,,,,
284,6/16/2018 11:30,8.978,,,,
285,6/16/2018 12:00,8.978,,,,
286,6/16/2018 12:30,8.779,,,,
287,6/16/2018 13:00,8.779,,,,
