Plot Title: Halifax PanAmEx,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20350667, SEN S/N: 20350667)","Coupler Attached (LGR S/N: 20350667, SEN S/N: 20350667)","Host Connected (LGR S/N: 20350667, SEN S/N: 20350667)","Stopped (LGR S/N: 20350667, SEN S/N: 20350667)","End Of File (LGR S/N: 20350667, SEN S/N: 20350667)"
1371,7/8/2018 0:00,17.855,,,,
1372,7/8/2018 0:30,17.855,,,,
1373,7/8/2018 1:00,17.76,,,,
1374,7/8/2018 1:30,17.76,,,,
1375,7/8/2018 2:00,17.76,,,,
1376,7/8/2018 2:30,17.76,,,,
1377,7/8/2018 3:00,17.665,,,,
1378,7/8/2018 3:30,17.57,,,,
1379,7/8/2018 4:00,17.57,,,,
1380,7/8/2018 4:30,15.473,,,,
1381,7/8/2018 5:00,16.903,,,,
1382,7/8/2018 5:30,15.378,,,,
1383,7/8/2018 6:00,13.942,,,,
1384,7/8/2018 6:30,13.173,,,,
1385,7/8/2018 7:00,13.942,,,,
1386,7/8/2018 7:30,14.613,,,,
1387,7/8/2018 8:00,14.421,,,,
1388,7/8/2018 8:30,14.325,,,,
1389,7/8/2018 9:00,13.942,,,,
1390,7/8/2018 9:30,14.613,,,,
1391,7/8/2018 10:00,14.996,,,,
1392,7/8/2018 10:30,15.664,,,,
1393,7/8/2018 11:00,16.523,,,,
1394,7/8/2018 11:30,16.808,,,,
1395,7/8/2018 12:00,17.379,,,,
1396,7/8/2018 12:30,17.665,,,,
1397,7/8/2018 13:00,17.57,,,,
1398,7/8/2018 13:30,18.14,,,,
1399,7/8/2018 14:00,17.855,,,,
1400,7/8/2018 14:30,18.236,,,,
1401,7/8/2018 15:00,18.14,,,,
1402,7/8/2018 15:30,18.331,,,,
1403,7/8/2018 16:00,18.236,,,,
1404,7/8/2018 16:30,18.616,,,,
1405,7/8/2018 17:00,18.331,,,,
1406,7/8/2018 17:30,17.95,,,,
1407,7/8/2018 18:00,18.14,,,,
1408,7/8/2018 18:30,17.855,,,,
1409,7/8/2018 19:00,17.379,,,,
1410,7/8/2018 19:30,17.665,,,,
1411,7/8/2018 20:00,17.475,,,,
1412,7/8/2018 20:30,17.379,,,,
1413,7/8/2018 21:00,17.094,,,,
1414,7/8/2018 21:30,14.709,,,,
1415,7/8/2018 22:00,14.325,,,,
1416,7/8/2018 22:30,14.134,,,,
1417,7/8/2018 23:00,13.558,,,,
1418,7/8/2018 23:30,14.421,,,,
1419,7/9/2018 0:00,15.378,,,,
1420,7/9/2018 0:30,15.951,,,,
1421,7/9/2018 1:00,15.855,,,,
1422,7/9/2018 1:30,15.76,,,,
1423,7/9/2018 2:00,15.664,,,,
1424,7/9/2018 2:30,15.473,,,,
1425,7/9/2018 3:00,14.996,,,,
1426,7/9/2018 3:30,13.365,,,,
1427,7/9/2018 4:00,14.038,,,,
1428,7/9/2018 4:30,13.942,,,,
1429,7/9/2018 5:00,14.23,,,,
1430,7/9/2018 5:30,14.134,,,,
1431,7/9/2018 6:00,14.325,,,,
1432,7/9/2018 6:30,13.942,,,,
1433,7/9/2018 7:00,12.594,,,,
1434,7/9/2018 7:30,12.497,,,,
1435,7/9/2018 8:00,13.076,,,,
1436,7/9/2018 8:30,13.461,,,,
1437,7/9/2018 9:00,13.654,,,,
