Plot Title: Brazil: Florianopolos,,,
#,"Date Time, GMT-05:00","Temp, °F (LGR S/N: 20462611, SEN S/N: 20462611)",End Of File (LGR S/N: 20462611)
1430,1/15/2019 9:30,87.004,
1431,1/15/2019 10:00,87.552,
1432,1/15/2019 10:30,87.552,
1433,1/15/2019 11:00,87.733,
1434,1/15/2019 11:30,88.833,
1435,1/15/2019 12:00,90.68,
1436,1/15/2019 12:30,89.569,
1437,1/15/2019 13:00,90.124,
1438,1/15/2019 13:30,90.124,
1439,1/15/2019 14:00,88.65,
1440,1/15/2019 14:30,87.552,
1441,1/15/2019 15:00,88.833,
1442,1/15/2019 15:30,87.915,
1443,1/15/2019 16:00,88.282,
1444,1/15/2019 16:30,88.282,
1445,1/15/2019 17:00,88.833,
1446,1/15/2019 17:30,88.833,
1447,1/15/2019 18:00,88.282,
1448,1/15/2019 18:30,87.915,
1449,1/15/2019 19:00,87.552,
1450,1/15/2019 19:30,86.823,
1451,1/15/2019 20:00,86.277,
1452,1/15/2019 20:30,86.097,
1453,1/15/2019 21:00,85.554,
1454,1/15/2019 21:30,86.097,
1455,1/15/2019 22:00,86.277,
1456,1/15/2019 22:30,86.459,
1457,1/15/2019 23:00,86.641,
1458,1/15/2019 23:30,86.641,
1459,1/16/2019 0:00,86.641,
1460,1/16/2019 0:30,86.823,
1461,1/16/2019 1:00,86.823,
1462,1/16/2019 1:30,86.823,
1463,1/16/2019 2:00,86.641,
1464,1/16/2019 2:30,85.915,
1465,1/16/2019 3:00,86.097,
1466,1/16/2019 3:30,86.097,
1467,1/16/2019 4:00,85.915,
1468,1/16/2019 4:30,86.277,
1469,1/16/2019 5:00,85.374,
1470,1/16/2019 5:30,85.915,
1471,1/16/2019 6:00,86.097,
1472,1/16/2019 6:30,85.915,
1473,1/16/2019 7:00,86.097,
1474,1/16/2019 7:30,86.459,
1475,1/16/2019 8:00,87.004,
1476,1/16/2019 8:30,86.641,
1477,1/16/2019 9:00,87.368,
1478,1/16/2019 9:30,87.733,
1479,1/16/2019 10:00,90.124,
1480,1/16/2019 10:30,89.2,
1481,1/16/2019 11:00,87.186,
1482,1/16/2019 11:30,87.368,
1483,1/16/2019 12:00,88.282,
1484,1/16/2019 12:30,89.755,
1485,1/16/2019 13:00,89.017,
1486,1/16/2019 13:30,88.65,
1487,1/16/2019 14:00,88.466,
1488,1/16/2019 14:30,88.833,
1489,1/16/2019 15:00,88.833,
1490,1/16/2019 15:30,88.65,
1491,1/16/2019 16:00,88.65,
1492,1/16/2019 16:30,88.833,
1493,1/16/2019 17:00,88.833,
1494,1/16/2019 17:30,88.833,
1495,1/16/2019 18:00,88.282,
1496,1/16/2019 18:30,88.65,
1497,1/16/2019 19:00,88.282,
1498,1/16/2019 19:30,88.099,
1499,1/16/2019 20:00,87.733,
1500,1/16/2019 20:30,87.186,
1501,1/16/2019 21:00,86.097,
1502,1/16/2019 21:30,85.374,
1503,1/16/2019 22:00,84.834,
1504,1/16/2019 22:30,85.194,
1505,1/16/2019 23:00,85.194,
1506,1/16/2019 23:30,86.097,
1507,1/17/2019 0:00,86.277,
1508,1/17/2019 0:30,86.277,
1509,1/17/2019 1:00,86.641,
1510,1/17/2019 1:30,86.277,
1511,1/17/2019 2:00,86.459,
1512,1/17/2019 2:30,86.459,
1513,1/17/2019 3:00,86.459,
1514,1/17/2019 3:30,86.277,
1515,1/17/2019 4:00,86.277,
1516,1/17/2019 4:30,86.097,
1517,1/17/2019 5:00,85.915,
1518,1/17/2019 5:30,85.915,
1519,1/17/2019 6:00,86.277,
1520,1/17/2019 6:30,86.459,
1521,1/17/2019 7:00,86.641,
1522,1/17/2019 7:30,87.368,
1523,1/17/2019 8:00,86.641,
1524,1/17/2019 8:30,85.915,
1525,1/17/2019 9:00,85.735,
1526,1/17/2019 9:30,86.459,
1527,1/17/2019 10:00,86.641,
1528,1/17/2019 10:30,85.554,
1529,1/17/2019 11:00,87.004,
1530,1/17/2019 11:30,87.186,
1531,1/17/2019 12:00,86.823,
1532,1/17/2019 12:30,88.65,
1533,1/17/2019 13:00,89.384,
1534,1/17/2019 13:30,89.569,
1535,1/17/2019 14:00,89.2,
1536,1/17/2019 14:30,89.384,
1537,1/17/2019 15:00,89.569,
1538,1/17/2019 15:30,89.569,
1539,1/17/2019 16:00,89.569,
1540,1/17/2019 16:30,89.384,
1541,1/17/2019 17:00,89.384,
1542,1/17/2019 17:30,89.017,
1543,1/17/2019 18:00,89.384,
1544,1/17/2019 18:30,88.466,
1545,1/17/2019 19:00,87.733,
1546,1/17/2019 19:30,87.552,
1547,1/17/2019 20:00,87.186,
1548,1/17/2019 20:30,87.186,
1549,1/17/2019 21:00,86.097,
1550,1/17/2019 21:30,85.014,
1551,1/17/2019 22:00,85.014,
1552,1/17/2019 22:30,84.654,
1553,1/17/2019 23:00,84.654,
1554,1/17/2019 23:30,84.474,
1555,1/18/2019 0:00,84.295,
1556,1/18/2019 0:30,84.474,
1557,1/18/2019 1:00,85.194,
1558,1/18/2019 1:30,85.374,
1559,1/18/2019 2:00,85.374,
1560,1/18/2019 2:30,85.554,
1561,1/18/2019 3:00,85.374,
1562,1/18/2019 3:30,85.554,
1563,1/18/2019 4:00,85.374,
1564,1/18/2019 4:30,85.194,
1565,1/18/2019 5:00,84.834,
1566,1/18/2019 5:30,85.014,
1567,1/18/2019 6:00,85.554,
1568,1/18/2019 6:30,85.554,
1569,1/18/2019 7:00,86.097,
1570,1/18/2019 7:30,86.097,
1571,1/18/2019 8:00,85.735,
1572,1/18/2019 8:30,86.459,
1573,1/18/2019 9:00,85.554,
1574,1/18/2019 9:30,86.823,
1575,1/18/2019 10:00,85.735,
1576,1/18/2019 10:30,85.374,
1577,1/18/2019 11:00,85.194,
1578,1/18/2019 11:30,85.735,
1579,1/18/2019 12:00,85.735,
1580,1/18/2019 12:30,86.097,
1581,1/18/2019 13:00,85.915,
1582,1/18/2019 13:30,86.823,
1583,1/18/2019 14:00,87.368,
1584,1/18/2019 14:30,87.368,
1585,1/18/2019 15:00,87.368,
1586,1/18/2019 15:30,87.368,
1587,1/18/2019 16:00,87.368,
1588,1/18/2019 16:30,87.368,
1589,1/18/2019 17:00,87.552,
1590,1/18/2019 17:30,87.368,
1591,1/18/2019 18:00,87.733,
1592,1/18/2019 18:30,87.368,
1593,1/18/2019 19:00,87.004,
1594,1/18/2019 19:30,86.641,
1595,1/18/2019 20:00,86.823,
1596,1/18/2019 20:30,86.097,
1597,1/18/2019 21:00,85.915,
1598,1/18/2019 21:30,85.735,
1599,1/18/2019 22:00,85.374,
1600,1/18/2019 22:30,85.194,
1601,1/18/2019 23:00,85.014,
1602,1/18/2019 23:30,84.654,
1603,1/19/2019 0:00,84.474,
1604,1/19/2019 0:30,84.474,
1605,1/19/2019 1:00,84.295,
1606,1/19/2019 1:30,84.295,
1607,1/19/2019 2:00,84.474,
1608,1/19/2019 2:30,84.654,
1609,1/19/2019 3:00,84.654,
1610,1/19/2019 3:30,84.295,
1611,1/19/2019 4:00,84.474,
1612,1/19/2019 4:30,83.935,
1613,1/19/2019 5:00,84.115,
1614,1/19/2019 5:30,84.115,
1615,1/19/2019 6:00,84.115,
1616,1/19/2019 6:30,84.654,
1617,1/19/2019 7:00,85.014,
1618,1/19/2019 7:30,85.194,
1619,1/19/2019 8:00,85.735,
1620,1/19/2019 8:30,85.915,
1621,1/19/2019 9:00,85.374,
1622,1/19/2019 9:30,85.735,
1623,1/19/2019 10:00,85.374,
1624,1/19/2019 10:30,85.374,
1625,1/19/2019 11:00,85.735,
1626,1/19/2019 11:30,85.915,
1627,1/19/2019 12:00,85.554,
1628,1/19/2019 12:30,85.735,
1629,1/19/2019 13:00,86.097,
1630,1/19/2019 13:30,86.641,
1631,1/19/2019 14:00,87.004,
1632,1/19/2019 14:30,86.823,
1633,1/19/2019 15:00,86.641,
1634,1/19/2019 15:30,86.823,
1635,1/19/2019 16:00,87.004,
1636,1/19/2019 16:30,86.823,
1637,1/19/2019 17:00,86.823,
1638,1/19/2019 17:30,86.823,
1639,1/19/2019 18:00,87.004,
1640,1/19/2019 18:30,87.004,
1641,1/19/2019 19:00,86.641,
1642,1/19/2019 19:30,86.459,
1643,1/19/2019 20:00,86.641,
1644,1/19/2019 20:30,86.277,
1645,1/19/2019 21:00,85.374,
1646,1/19/2019 21:30,85.194,
1647,1/19/2019 22:00,85.374,
1648,1/19/2019 22:30,85.194,
1649,1/19/2019 23:00,85.014,
1650,1/19/2019 23:30,85.194,
1651,1/20/2019 0:00,85.014,
1652,1/20/2019 0:30,85.014,
1653,1/20/2019 1:00,85.014,
1654,1/20/2019 1:30,84.834,
1655,1/20/2019 2:00,84.654,
1656,1/20/2019 2:30,84.654,
1657,1/20/2019 3:00,84.474,
1658,1/20/2019 3:30,84.474,
1659,1/20/2019 4:00,84.474,
1660,1/20/2019 4:30,84.295,
1661,1/20/2019 5:00,84.295,
1662,1/20/2019 5:30,84.474,
1663,1/20/2019 6:00,84.474,
1664,1/20/2019 6:30,84.295,
1665,1/20/2019 7:00,83.757,
1666,1/20/2019 7:30,84.115,
1667,1/20/2019 8:00,84.474,
1668,1/20/2019 8:30,84.474,
1669,1/20/2019 9:00,84.654,
1670,1/20/2019 9:30,84.474,
1671,1/20/2019 10:00,84.474,
1672,1/20/2019 10:30,84.474,
1673,1/20/2019 11:00,84.654,
1674,1/20/2019 11:30,84.654,
1675,1/20/2019 12:00,84.654,
1676,1/20/2019 12:30,84.654,
1677,1/20/2019 13:00,84.654,
1678,1/20/2019 13:30,84.654,
1679,1/20/2019 14:00,84.654,
1680,1/20/2019 14:30,84.474,
1681,1/20/2019 15:00,84.654,
1682,1/20/2019 15:30,84.474,
1683,1/20/2019 16:00,84.474,
1684,1/20/2019 16:30,84.474,
1685,1/20/2019 17:00,84.474,
1686,1/20/2019 17:30,84.295,
1687,1/20/2019 18:00,84.295,
1688,1/20/2019 18:30,84.295,
1689,1/20/2019 19:00,83.935,
1690,1/20/2019 19:30,83.757,
1691,1/20/2019 20:00,83.579,
1692,1/20/2019 20:30,83.757,
1693,1/20/2019 21:00,83.579,
1694,1/20/2019 21:30,83.221,
1695,1/20/2019 22:00,83.221,
1696,1/20/2019 22:30,84.115,
1697,1/20/2019 23:00,84.115,
1698,1/20/2019 23:30,84.115,
1699,1/21/2019 0:00,84.115,
1700,1/21/2019 0:30,83.935,
1701,1/21/2019 1:00,83.935,
1702,1/21/2019 1:30,84.115,
1703,1/21/2019 2:00,83.935,
1704,1/21/2019 2:30,83.935,
1705,1/21/2019 3:00,83.757,
1706,1/21/2019 3:30,83.399,
1707,1/21/2019 4:00,83.221,
1708,1/21/2019 4:30,83.043,
1709,1/21/2019 5:00,82.864,
1710,1/21/2019 5:30,83.221,
1711,1/21/2019 6:00,83.221,
1712,1/21/2019 6:30,83.399,
1713,1/21/2019 7:00,83.757,
1714,1/21/2019 7:30,84.474,
1715,1/21/2019 8:00,84.474,
1716,1/21/2019 8:30,84.474,
1717,1/21/2019 9:00,84.474,
