Título do Desenho: Brazil (Helena),,
#,Fim Do Ficheiro (LGR S/N: 20462601),"Temp., °F (LGR S/N: 20462601, SEN S/N: 20462601)"
893,2/15/2019 0:00,85.735
894,2/15/2019 0:30,85.554
895,2/15/2019 1:00,85.554
896,2/15/2019 1:30,85.554
897,2/15/2019 2:00,85.554
898,2/15/2019 2:30,85.554
899,2/15/2019 3:00,85.554
900,2/15/2019 3:30,85.374
901,2/15/2019 4:00,85.374
902,2/15/2019 4:30,85.374
903,2/15/2019 5:00,85.374
904,2/15/2019 5:30,85.374
905,2/15/2019 6:00,85.554
906,2/15/2019 6:30,85.735
907,2/15/2019 7:00,85.735
908,2/15/2019 7:30,85.915
909,2/15/2019 8:00,86.277
910,2/15/2019 8:30,86.277
911,2/15/2019 9:00,86.641
912,2/15/2019 9:30,86.641
913,2/15/2019 10:00,86.641
914,2/15/2019 10:30,86.641
915,2/15/2019 11:00,86.823
916,2/15/2019 11:30,87.004
917,2/15/2019 12:00,87.186
918,2/15/2019 12:30,87.368
919,2/15/2019 13:00,87.368
920,2/15/2019 13:30,87.552
921,2/15/2019 14:00,87.186
922,2/15/2019 14:30,86.823
923,2/15/2019 15:00,86.641
924,2/15/2019 15:30,86.459
925,2/15/2019 16:00,86.277
926,2/15/2019 16:30,86.277
927,2/15/2019 17:00,86.277
928,2/15/2019 17:30,86.277
929,2/15/2019 18:00,86.097
930,2/15/2019 18:30,86.097
931,2/15/2019 19:00,85.915
932,2/15/2019 19:30,85.915
933,2/15/2019 20:00,85.735
934,2/15/2019 20:30,85.735
935,2/15/2019 21:00,85.735
936,2/15/2019 21:30,85.735
937,2/15/2019 22:00,85.735
938,2/15/2019 22:30,85.554
939,2/15/2019 23:00,85.735
940,2/15/2019 23:30,85.735
941,2/16/2019 0:00,85.735
942,2/16/2019 0:30,85.735
943,2/16/2019 1:00,85.554
944,2/16/2019 1:30,85.374
945,2/16/2019 2:00,85.554
946,2/16/2019 2:30,85.554
947,2/16/2019 3:00,85.374
948,2/16/2019 3:30,85.374
949,2/16/2019 4:00,85.374
950,2/16/2019 4:30,85.374
951,2/16/2019 5:00,85.194
952,2/16/2019 5:30,85.374
953,2/16/2019 6:00,85.374
954,2/16/2019 6:30,85.374
955,2/16/2019 7:00,85.554
956,2/16/2019 7:30,85.735
957,2/16/2019 8:00,85.735
958,2/16/2019 8:30,85.735
959,2/16/2019 9:00,85.735
960,2/16/2019 9:30,85.915
961,2/16/2019 10:00,86.277
962,2/16/2019 10:30,86.277
963,2/16/2019 11:00,86.459
964,2/16/2019 11:30,86.459
965,2/16/2019 12:00,86.277
966,2/16/2019 12:30,86.459
967,2/16/2019 13:00,86.459
968,2/16/2019 13:30,86.459
969,2/16/2019 14:00,86.277
970,2/16/2019 14:30,86.277
971,2/16/2019 15:00,86.277
972,2/16/2019 15:30,86.277
973,2/16/2019 16:00,86.097
974,2/16/2019 16:30,86.097
975,2/16/2019 17:00,86.097
976,2/16/2019 17:30,85.915
977,2/16/2019 18:00,85.915
978,2/16/2019 18:30,85.915
979,2/16/2019 19:00,85.735
980,2/16/2019 19:30,85.735
981,2/16/2019 20:00,85.735
982,2/16/2019 20:30,85.735
983,2/16/2019 21:00,85.554
984,2/16/2019 21:30,85.554
985,2/16/2019 22:00,85.554
986,2/16/2019 22:30,85.554
987,2/16/2019 23:00,85.554
988,2/16/2019 23:30,85.554
989,2/17/2019 0:00,85.374
990,2/17/2019 0:30,85.374
991,2/17/2019 1:00,85.554
992,2/17/2019 1:30,85.554
993,2/17/2019 2:00,85.554
994,2/17/2019 2:30,85.554
995,2/17/2019 3:00,85.554
996,2/17/2019 3:30,85.374
997,2/17/2019 4:00,85.374
998,2/17/2019 4:30,85.374
999,2/17/2019 5:00,85.374
1000,2/17/2019 5:30,85.374
1001,2/17/2019 6:00,85.554
1002,2/17/2019 6:30,85.735
1003,2/17/2019 7:00,85.915
1004,2/17/2019 7:30,85.915
1005,2/17/2019 8:00,86.097
1006,2/17/2019 8:30,86.459
1007,2/17/2019 9:00,86.277
1008,2/17/2019 9:30,86.641
1009,2/17/2019 10:00,87.552
1010,2/17/2019 10:30,86.823
1011,2/17/2019 11:00,87.186
1012,2/17/2019 11:30,87.186
1013,2/17/2019 12:00,87.186
1014,2/17/2019 12:30,86.641
1015,2/17/2019 13:00,87.368
1016,2/17/2019 13:30,87.004
1017,2/17/2019 14:00,86.459
1018,2/17/2019 14:30,86.277
1019,2/17/2019 15:00,86.277
1020,2/17/2019 15:30,86.097
1021,2/17/2019 16:00,86.097
1022,2/17/2019 16:30,86.097
1023,2/17/2019 17:00,85.915
1024,2/17/2019 17:30,85.915
1025,2/17/2019 18:00,85.915
1026,2/17/2019 18:30,85.915
1027,2/17/2019 19:00,85.735
1028,2/17/2019 19:30,85.735
1029,2/17/2019 20:00,85.735
1030,2/17/2019 20:30,85.735
1031,2/17/2019 21:00,85.735
1032,2/17/2019 21:30,85.735
1033,2/17/2019 22:00,85.554
1034,2/17/2019 22:30,85.554
1035,2/17/2019 23:00,85.554
1036,2/17/2019 23:30,85.554
