Plot Title: Fort Pierce PanAmEx,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20350655, SEN S/N: 20350655)","Coupler Attached (LGR S/N: 20350655, SEN S/N: 20350655)","Coupler Detached (LGR S/N: 20350655, SEN S/N: 20350655)","Host Connected (LGR S/N: 20350655, SEN S/N: 20350655)","Stopped (LGR S/N: 20350655, SEN S/N: 20350655)","End Of File (LGR S/N: 20350655, SEN S/N: 20350655)"
1,6/9/2018 11:00,27.764,,,,,
2,6/9/2018 11:30,28.06,,,,,
3,6/9/2018 12:00,27.961,,,,,
4,6/9/2018 12:30,28.06,,,,,
5,6/9/2018 13:00,28.258,,,,,
6,6/9/2018 13:30,28.456,,,,,
7,6/9/2018 14:00,28.754,,,,,
8,6/9/2018 14:30,28.953,,,,,
9,6/9/2018 15:00,29.252,,,,,
10,6/9/2018 15:30,28.953,,,,,
11,6/9/2018 16:00,28.754,,,,,
12,6/9/2018 16:30,27.961,,,,,
13,6/9/2018 17:00,27.468,,,,,
14,6/9/2018 17:30,27.272,,,,,
15,6/9/2018 18:00,27.173,,,,,
16,6/9/2018 18:30,27.272,,,,,
17,6/9/2018 19:00,27.173,,,,,
18,6/9/2018 19:30,27.173,,,,,
19,6/9/2018 20:00,27.173,,,,,
20,6/9/2018 20:30,27.173,,,,,
21,6/9/2018 21:00,27.075,,,,,
22,6/9/2018 21:30,27.173,,,,,
23,6/9/2018 22:00,27.37,,,,,
24,6/9/2018 22:30,27.567,,,,,
25,6/9/2018 23:00,27.567,,,,,
26,6/9/2018 23:30,27.665,,,,,
27,6/10/2018 0:00,27.764,,,,,
28,6/10/2018 0:30,27.764,,,,,
29,6/10/2018 1:00,27.665,,,,,
30,6/10/2018 1:30,27.665,,,,,
31,6/10/2018 2:00,27.665,,,,,
32,6/10/2018 2:30,27.665,,,,,
33,6/10/2018 3:00,27.567,,,,,
34,6/10/2018 3:30,27.567,,,,,
35,6/10/2018 4:00,27.862,,,,,
36,6/10/2018 4:30,27.665,,,,,
37,6/10/2018 5:00,27.665,,,,,
38,6/10/2018 5:30,27.173,,,,,
39,6/10/2018 6:00,26.879,,,,,
40,6/10/2018 6:30,26.781,,,,,
41,6/10/2018 7:00,26.781,,,,,
42,6/10/2018 7:30,26.781,,,,,
43,6/10/2018 8:00,26.879,,,,,
44,6/10/2018 8:30,26.781,,,,,
45,6/10/2018 9:00,26.879,,,,,
46,6/10/2018 9:30,27.075,,,,,
47,6/10/2018 10:00,27.075,,,,,
48,6/10/2018 10:30,27.173,,,,,
49,6/10/2018 11:00,27.567,,,,,
50,6/10/2018 11:30,28.159,,,,,
51,6/10/2018 12:00,28.456,,,,,
52,6/10/2018 12:30,28.853,,,,,
53,6/10/2018 13:00,29.352,,,,,
54,6/10/2018 13:30,28.953,,,,,
55,6/10/2018 14:00,29.053,,,,,
56,6/10/2018 14:30,29.152,,,,,
57,6/10/2018 15:00,29.452,,,,,
58,6/10/2018 15:30,29.652,,,,,
59,6/10/2018 16:00,29.752,,,,,
60,6/10/2018 16:30,29.552,,,,,
61,6/10/2018 17:00,29.552,,,,,
62,6/10/2018 17:30,27.961,,,,,
63,6/10/2018 18:00,27.567,,,,,
64,6/10/2018 18:30,27.468,,,,,
65,6/10/2018 19:00,27.468,,,,,
66,6/10/2018 19:30,27.468,,,,,
67,6/10/2018 20:00,27.272,,,,,
