Título de trazado: La Paz,,
N.º,"Fecha Tiempo, GMT-04:00","Temp, °C (LGR S/N: 20355576, SEN S/N: 20355576)"
894,6/19/2018,25.902
895,6/20/2018,25.61
896,6/20/2018 0:30,25.708
897,6/20/2018 1:00,25.61
898,6/20/2018 1:30,25.61
899,6/20/2018 2:00,25.61
900,6/20/2018 2:30,25.61
901,6/20/2018,25.61
902,6/20/2018 3:30,25.61
903,6/20/2018 4:00,25.513
904,6/20/2018 4:30,25.513
905,6/20/2018 5:00,25.416
906,6/20/2018 5:30,25.416
907,6/20/2018 6:00,25.416
908,6/20/2018 6:30,25.416
909,6/20/2018 7:00,25.319
910,6/20/2018 7:30,25.319
911,6/20/2018 8:00,25.222
912,6/20/2018 8:30,25.222
913,6/20/2018 9:00,25.125
914,6/20/2018 9:30,25.125
915,6/20/2018 10:00,25.125
916,6/20/2018 10:30,25.222
917,6/20/2018 11:00,25.222
918,6/20/2018 11:30,25.222
919,6/20/2018 12:00,25.222
920,6/20/2018 12:30,25.222
921,6/20/2018 13:00,25.319
922,6/20/2018 13:30,25.319
923,6/20/2018 14:00,25.319
924,6/20/2018 14:30,25.513
925,6/20/2018 15:00,25.416
926,6/20/2018 15:30,25.416
927,6/20/2018 16:00,25.319
928,6/20/2018 16:30,25.319
929,6/20/2018 17:00,25.319
930,6/20/2018 17:30,25.805
931,6/20/2018 18:00,25.513
932,6/20/2018 18:30,25.708
933,6/20/2018 19:00,25.222
934,6/20/2018 19:30,25.125
935,6/20/2018 20:00,25.513
936,6/20/2018 20:30,24.835
937,6/20/2018 21:00,25.028
938,6/20/2018 21:30,25.319
939,6/20/2018 22:00,25.319
940,6/20/2018 22:30,25.416
941,6/20/2018 23:00,25.416
942,6/20/2018 23:30,25.416
943,6/21/2018 0:00,25.222
944,6/21/2018 0:30,24.931
945,6/21/2018 1:00,25.028
946,6/21/2018 1:30,24.835
947,6/21/2018 2:00,24.641
948,6/21/2018 2:30,24.641
949,6/21/2018 3:00,24.641
950,6/21/2018 3:30,24.545
951,6/21/2018 4:00,24.448
952,6/21/2018 4:30,24.351
953,6/21/2018 5:00,24.351
954,6/21/2018 5:30,24.351
955,6/21/2018 6:00,24.351
956,6/21/2018 6:30,24.255
957,6/21/2018 7:00,24.255
958,6/21/2018 7:30,24.255
959,6/21/2018 8:00,24.255
960,6/21/2018 8:30,24.158
961,6/21/2018 9:00,24.158
962,6/21/2018 9:30,24.158
963,6/21/2018 10:00,24.158
964,6/21/2018 10:30,24.255
965,6/21/2018 11:00,24.255
966,6/21/2018 11:30,24.351
967,6/21/2018 12:00,24.448
968,6/21/2018 12:30,24.448
969,6/21/2018 13:00,24.545
970,6/21/2018 13:30,24.641
971,6/21/2018 14:00,24.835
972,6/21/2018 14:30,24.738
973,6/21/2018 15:00,25.125
974,6/21/2018 15:30,24.931
975,6/21/2018 16:00,24.931
976,6/21/2018 16:30,25.028
977,6/21/2018 17:00,25.222
978,6/21/2018 17:30,24.931
979,6/21/2018 18:00,24.931
980,6/21/2018 18:30,25.125
981,6/21/2018 19:00,24.738
982,6/21/2018 19:30,25.222
983,6/21/2018 20:00,25.222
984,6/21/2018 20:30,25.319
985,6/21/2018 21:00,25.222
986,6/21/2018 21:30,25.125
987,6/21/2018 22:00,24.931
988,6/21/2018 22:30,24.931
989,6/21/2018 23:00,24.931
990,6/21/2018 23:30,24.835
991,6/22/2018 0:00,24.835
992,6/22/2018 0:30,24.835
993,6/22/2018 1:00,24.835
994,6/22/2018 1:30,24.835
995,6/22/2018 2:00,24.835
996,6/22/2018 2:30,24.738
997,6/22/2018 3:00,24.738
998,6/22/2018 3:30,24.738
999,6/22/2018 4:00,24.641
1000,6/22/2018 4:30,24.641
1001,6/22/2018 5:00,24.641
1002,6/22/2018 5:30,24.641
1003,6/22/2018 6:00,24.641
1004,6/22/2018 6:30,24.641
1005,6/22/2018 7:00,24.545
1006,6/22/2018 7:30,24.545
1007,6/22/2018 8:00,24.545
1008,6/22/2018 8:30,24.545
1009,6/22/2018 9:00,24.545
1010,6/22/2018 9:30,24.545
1011,6/22/2018 10:00,24.545
1012,6/22/2018 10:30,24.545
1013,6/22/2018 11:00,24.545
