Título de trazado: MDP,,
N.º,"Fecha Tiempo, GMT-05:00","Temp, °F (LGR S/N: 20462595, SEN S/N: 20462595)"
1421,1/25/2019 0:00,73.234
1422,1/25/2019 0:30,73.062
1423,1/25/2019 1:00,72.891
1424,1/25/2019 1:30,73.062
1425,1/25/2019 2:00,72.891
1426,1/25/2019 2:30,73.062
1427,1/25/2019 3:00,72.718
1428,1/25/2019 3:30,72.718
1429,1/25/2019 4:00,72.545
1430,1/25/2019 4:30,72.545
1431,1/25/2019 5:00,72.372
1432,1/25/2019 5:30,72.372
1433,1/25/2019 6:00,72.372
1434,1/25/2019 6:30,72.372
1435,1/25/2019 7:00,72.199
1436,1/25/2019 7:30,72.199
1437,1/25/2019 8:00,72.199
1438,1/25/2019 8:30,72.199
1439,1/25/2019 9:00,72.199
1440,1/25/2019 9:30,72.199
1441,1/25/2019 10:00,72.372
1442,1/25/2019 10:30,72.545
1443,1/25/2019 11:00,72.718
1444,1/25/2019 11:30,72.718
1445,1/25/2019 12:00,72.718
1446,1/25/2019 12:30,72.891
1447,1/25/2019 13:00,72.891
1448,1/25/2019 13:30,73.062
1449,1/25/2019 14:00,73.062
1450,1/25/2019 14:30,73.234
1451,1/25/2019 15:00,73.062
1452,1/25/2019 15:30,73.234
1453,1/25/2019 16:00,73.234
1454,1/25/2019 16:30,73.062
1455,1/25/2019 17:00,73.062
1456,1/25/2019 17:30,73.062
1457,1/25/2019 18:00,73.062
1458,1/25/2019 18:30,73.062
1459,1/25/2019 19:00,73.062
1460,1/25/2019 19:30,72.891
1461,1/25/2019 20:00,72.891
1462,1/25/2019 20:30,72.891
1463,1/25/2019 21:00,72.891
1464,1/25/2019 21:30,72.891
1465,1/25/2019 22:00,72.891
1466,1/25/2019 22:30,72.718
1467,1/25/2019 23:00,72.718
1468,1/25/2019 23:30,72.718
1469,1/26/2019 0:00,72.718
1470,1/26/2019 0:30,72.718
1471,1/26/2019 1:00,72.718
1472,1/26/2019 1:30,72.718
1473,1/26/2019 2:00,72.718
1474,1/26/2019 2:30,72.718
1475,1/26/2019 3:00,72.545
1476,1/26/2019 3:30,72.545
1477,1/26/2019 4:00,72.718
1478,1/26/2019 4:30,72.718
1479,1/26/2019 5:00,73.062
1480,1/26/2019 5:30,72.891
1481,1/26/2019 6:00,73.407
1482,1/26/2019 6:30,73.407
1483,1/26/2019 7:00,72.891
1484,1/26/2019 7:30,73.407
1485,1/26/2019 8:00,73.407
1486,1/26/2019 8:30,73.234
1487,1/26/2019 9:00,73.407
1488,1/26/2019 9:30,73.407
1489,1/26/2019 10:00,73.58
1490,1/26/2019 10:30,73.58
1491,1/26/2019 11:00,73.753
1492,1/26/2019 11:30,73.926
1493,1/26/2019 12:00,73.926
1494,1/26/2019 12:30,74.098
1495,1/26/2019 13:00,74.098
1496,1/26/2019 13:30,74.098
1497,1/26/2019 14:00,74.446
1498,1/26/2019 14:30,74.271
1499,1/26/2019 15:00,74.271
1500,1/26/2019 15:30,74.271
1501,1/26/2019 16:00,74.098
1502,1/26/2019 16:30,74.098
1503,1/26/2019 17:00,74.098
1504,1/26/2019 17:30,74.098
1505,1/26/2019 18:00,74.098
1506,1/26/2019 18:30,74.098
1507,1/26/2019 19:00,74.098
1508,1/26/2019 19:30,74.098
1509,1/26/2019 20:00,74.098
1510,1/26/2019 20:30,73.926
1511,1/26/2019 21:00,73.926
1512,1/26/2019 21:30,73.926
1513,1/26/2019 22:00,73.926
1514,1/26/2019 22:30,73.926
1515,1/26/2019 23:00,73.926
1516,1/26/2019 23:30,73.753
1517,1/27/2019 0:00,73.753
1518,1/27/2019 0:30,73.753
1519,1/27/2019 1:00,73.753
1520,1/27/2019 1:30,73.753
