Plot Title: Newfoundland PanAmEx,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20350661, SEN S/N: 20350661)","Coupler Attached (LGR S/N: 20350661, SEN S/N: 20350661)","Host Connected (LGR S/N: 20350661, SEN S/N: 20350661)","Stopped (LGR S/N: 20350661, SEN S/N: 20350661)","End Of File (LGR S/N: 20350661, SEN S/N: 20350661)"
555,6/19/2018 0:00,6.877,,,,
556,6/19/2018 0:30,6.877,,,,
557,6/19/2018 1:00,6.775,,,,
558,6/19/2018 1:30,6.775,,,,
559,6/19/2018 2:00,6.775,,,,
560,6/19/2018 2:30,6.775,,,,
561,6/19/2018 3:00,6.775,,,,
562,6/19/2018 3:30,6.775,,,,
563,6/19/2018 4:00,6.775,,,,
564,6/19/2018 4:30,6.775,,,,
565,6/19/2018 5:00,6.674,,,,
566,6/19/2018 5:30,6.775,,,,
567,6/19/2018 6:00,6.775,,,,
568,6/19/2018 6:30,6.877,,,,
569,6/19/2018 7:00,6.877,,,,
570,6/19/2018 7:30,6.877,,,,
571,6/19/2018 8:00,6.877,,,,
572,6/19/2018 8:30,6.978,,,,
573,6/19/2018 9:00,6.978,,,,
574,6/19/2018 9:30,6.978,,,,
575,6/19/2018 10:00,7.079,,,,
576,6/19/2018 10:30,7.079,,,,
577,6/19/2018 11:00,7.079,,,,
578,6/19/2018 11:30,7.079,,,,
579,6/19/2018 12:00,7.079,,,,
580,6/19/2018 12:30,7.079,,,,
581,6/19/2018 13:00,7.079,,,,
582,6/19/2018 13:30,7.079,,,,
583,6/19/2018 14:00,7.079,,,,
584,6/19/2018 14:30,7.079,,,,
585,6/19/2018 15:00,7.079,,,,
586,6/19/2018 15:30,7.079,,,,
587,6/19/2018 16:00,6.978,,,,
588,6/19/2018 16:30,6.978,,,,
589,6/19/2018 17:00,6.978,,,,
590,6/19/2018 17:30,6.978,,,,
591,6/19/2018 18:00,6.978,,,,
592,6/19/2018 18:30,6.978,,,,
593,6/19/2018 19:00,6.978,,,,
594,6/19/2018 19:30,6.978,,,,
595,6/19/2018 20:00,6.978,,,,
596,6/19/2018 20:30,6.978,,,,
597,6/19/2018 21:00,6.978,,,,
598,6/19/2018 21:30,6.877,,,,
599,6/19/2018 22:00,6.877,,,,
600,6/19/2018 22:30,6.978,,,,
601,6/19/2018 23:00,6.978,,,,
602,6/19/2018 23:30,6.978,,,,
603,6/20/2018 0:00,6.978,,,,
604,6/20/2018 0:30,6.978,,,,
605,6/20/2018 1:00,6.978,,,,
606,6/20/2018 1:30,6.978,,,,
607,6/20/2018 2:00,6.978,,,,
608,6/20/2018 2:30,6.978,,,,
609,6/20/2018 3:00,6.877,,,,
610,6/20/2018 3:30,6.877,,,,
611,6/20/2018 4:00,6.877,,,,
612,6/20/2018 4:30,6.877,,,,
613,6/20/2018 5:00,6.877,,,,
614,6/20/2018 5:30,6.877,,,,
615,6/20/2018 6:00,6.877,,,,
616,6/20/2018 6:30,6.877,,,,
617,6/20/2018 7:00,6.877,,,,
618,6/20/2018 7:30,6.877,,,,
619,6/20/2018 8:00,6.877,,,,
620,6/20/2018 8:30,6.877,,,,
621,6/20/2018 9:00,6.978,,,,
622,6/20/2018 9:30,6.978,,,,
623,6/20/2018 10:00,6.978,,,,
624,6/20/2018 10:30,6.978,,,,
625,6/20/2018 11:00,6.978,,,,
626,6/20/2018 11:30,6.978,,,,
627,6/20/2018 12:00,6.978,,,,
628,6/20/2018 12:30,7.079,,,,
629,6/20/2018 13:00,7.079,,,,
630,6/20/2018 13:30,7.28,,,,
631,6/20/2018 14:00,7.381,,,,
632,6/20/2018 14:30,7.381,,,,
633,6/20/2018 15:00,7.481,,,,
634,6/20/2018 15:30,7.481,,,,
635,6/20/2018 16:00,7.481,,,,
636,6/20/2018 16:30,7.582,,,,
637,6/20/2018 17:00,7.481,,,,
638,6/20/2018 17:30,7.582,,,,
639,6/20/2018 18:00,7.582,,,,
640,6/20/2018 18:30,7.582,,,,
641,6/20/2018 19:00,7.481,,,,
642,6/20/2018 19:30,7.481,,,,
643,6/20/2018 20:00,7.481,,,,
644,6/20/2018 20:30,7.481,,,,
645,6/20/2018 21:00,7.481,,,,
646,6/20/2018 21:30,7.481,,,,
647,6/20/2018 22:00,7.481,,,,
648,6/20/2018 22:30,7.381,,,,
649,6/20/2018 23:00,7.381,,,,
650,6/20/2018 23:30,7.381,,,,
651,6/21/2018 0:00,7.381,,,,
652,6/21/2018 0:30,7.381,,,,
653,6/21/2018 1:00,7.381,,,,
654,6/21/2018 1:30,7.381,,,,
655,6/21/2018 2:00,7.28,,,,
656,6/21/2018 2:30,7.28,,,,
657,6/21/2018 3:00,7.28,,,,
658,6/21/2018 3:30,7.28,,,,
659,6/21/2018 4:00,7.28,,,,
660,6/21/2018 4:30,7.381,,,,
661,6/21/2018 5:00,7.381,,,,
662,6/21/2018 5:30,7.381,,,,
663,6/21/2018 6:00,7.381,,,,
664,6/21/2018 6:30,7.381,,,,
665,6/21/2018 7:00,7.381,,,,
666,6/21/2018 7:30,7.381,,,,
667,6/21/2018 8:00,7.28,,,,
668,6/21/2018 8:30,7.381,,,,
669,6/21/2018 9:00,7.381,,,,
670,6/21/2018 9:30,7.381,,,,
671,6/21/2018 10:00,7.481,,,,
672,6/21/2018 10:30,7.582,,,,
673,6/21/2018 11:00,7.682,,,,
674,6/21/2018 11:30,7.682,,,,
675,6/21/2018 12:00,7.682,,,,
676,6/21/2018 12:30,7.782,,,,
677,6/21/2018 13:00,7.782,,,,
678,6/21/2018 13:30,7.882,,,,
679,6/21/2018 14:00,7.882,,,,
680,6/21/2018 14:30,7.882,,,,
681,6/21/2018 15:00,7.882,,,,
682,6/21/2018 15:30,7.782,,,,
683,6/21/2018 16:00,7.782,,,,
684,6/21/2018 16:30,7.882,,,,
685,6/21/2018 17:00,7.782,,,,
686,6/21/2018 17:30,7.782,,,,
687,6/21/2018 18:00,7.782,,,,
688,6/21/2018 18:30,7.782,,,,
689,6/21/2018 19:00,7.782,,,,
690,6/21/2018 19:30,7.782,,,,
691,6/21/2018 20:00,7.782,,,,
692,6/21/2018 20:30,7.682,,,,
693,6/21/2018 21:00,7.682,,,,
694,6/21/2018 21:30,7.682,,,,
695,6/21/2018 22:00,7.782,,,,
696,6/21/2018 22:30,7.682,,,,
697,6/21/2018 23:00,7.682,,,,
698,6/21/2018 23:30,7.782,,,,
699,6/22/2018 0:00,7.682,,,,
700,6/22/2018 0:30,7.682,,,,
701,6/22/2018 1:00,7.682,,,,
702,6/22/2018 1:30,7.682,,,,
703,6/22/2018 2:00,7.682,,,,
704,6/22/2018 2:30,7.682,,,,
705,6/22/2018 3:00,7.682,,,,
706,6/22/2018 3:30,7.682,,,,
707,6/22/2018 4:00,7.682,,,,
708,6/22/2018 4:30,7.682,,,,
709,6/22/2018 5:00,7.682,,,,
710,6/22/2018 5:30,7.582,,,,
711,6/22/2018 6:00,7.582,,,,
712,6/22/2018 6:30,7.582,,,,
713,6/22/2018 7:00,7.481,,,,
714,6/22/2018 7:30,7.582,,,,
715,6/22/2018 8:00,7.582,,,,
716,6/22/2018 8:30,7.682,,,,
717,6/22/2018 9:00,7.682,,,,
718,6/22/2018 9:30,7.682,,,,
719,6/22/2018 10:00,7.782,,,,
720,6/22/2018 10:30,7.882,,,,
721,6/22/2018 11:00,7.882,,,,
