Plot Title: PML,,,
#,"Date Time, GMT-05:00","Temp, °F (LGR S/N: 20462606, SEN S/N: 20462606)",End Of File (LGR S/N: 20462606)
2647,2/19/2019 18:00,67.392,
2648,2/19/2019 18:30,72.199,
2649,2/19/2019 19:00,68.763,
2650,2/19/2019 19:30,67.392,
2651,2/19/2019 20:00,66.537,
2652,2/19/2019 20:30,67.906,
2653,2/19/2019 21:00,65.68,
2654,2/19/2019 21:30,65.338,
2655,2/19/2019 22:00,66.879,
2656,2/19/2019 22:30,64.139,
2657,2/19/2019 23:00,64.652,
2658,2/19/2019 23:30,67.906,
2659,2/20/2019 0:00,66.708,
2660,2/20/2019 0:30,68.248,
2661,2/20/2019 1:00,67.564,
2662,2/20/2019 1:30,69.107,
2663,2/20/2019 2:00,67.906,
2664,2/20/2019 2:30,71.168,
2665,2/20/2019 3:00,69.622,
2666,2/20/2019 3:30,69.964,
2667,2/20/2019 4:00,69.449,
2668,2/20/2019 4:30,70.824,
2669,2/20/2019 5:00,71.339,
2670,2/20/2019 5:30,70.995,
2671,2/20/2019 6:00,70.824,
2672,2/20/2019 6:30,70.651,
2673,2/20/2019 7:00,70.308,
2674,2/20/2019 7:30,68.248,
2675,2/20/2019 8:00,69.107,
2676,2/20/2019 8:30,69.107,
2677,2/20/2019 9:00,68.763,
2678,2/20/2019 9:30,66.022,
2679,2/20/2019 10:00,66.022,
2680,2/20/2019 10:30,65.851,
2681,2/20/2019 11:00,65.167,
2682,2/20/2019 11:30,64.652,
2683,2/20/2019 12:00,65.68,
2684,2/20/2019 12:30,64.996,
2685,2/20/2019 13:00,64.481,
2686,2/20/2019 13:30,66.537,
2687,2/20/2019 14:00,65.338,
2688,2/20/2019 14:30,66.193,
2689,2/20/2019 15:00,68.421,
2690,2/20/2019 15:30,68.248,
2691,2/20/2019 16:00,66.879,
2692,2/20/2019 16:30,65.509,
2693,2/20/2019 17:00,66.193,
2694,2/20/2019 17:30,66.022,
2695,2/20/2019 18:00,64.652,
2696,2/20/2019 18:30,64.652,
2697,2/20/2019 19:00,63.797,
2698,2/20/2019 19:30,64.481,
2699,2/20/2019 20:00,64.652,
2700,2/20/2019 20:30,64.481,
2701,2/20/2019 21:00,64.996,
2702,2/20/2019 21:30,64.31,
2703,2/20/2019 22:00,63.968,
2704,2/20/2019 22:30,63.968,
2705,2/20/2019 23:00,63.968,
2706,2/20/2019 23:30,64.31,
2707,2/21/2019 0:00,64.825,
2708,2/21/2019 0:30,66.366,
2709,2/21/2019 1:00,65.509,
2710,2/21/2019 1:30,64.652,
2711,2/21/2019 2:00,65.338,
2712,2/21/2019 2:30,65.509,
2713,2/21/2019 3:00,65.509,
2714,2/21/2019 3:30,66.193,
2715,2/21/2019 4:00,65.167,
2716,2/21/2019 4:30,66.022,
2717,2/21/2019 5:00,67.05,
2718,2/21/2019 5:30,66.537,
2719,2/21/2019 6:00,67.392,
2720,2/21/2019 6:30,67.05,
2721,2/21/2019 7:00,67.392,
2722,2/21/2019 7:30,67.906,
2723,2/21/2019 8:00,67.906,
2724,2/21/2019 8:30,68.248,
2725,2/21/2019 9:00,67.735,
2726,2/21/2019 9:30,68.248,
2727,2/21/2019 10:00,68.077,
2728,2/21/2019 10:30,68.592,
2729,2/21/2019 11:00,67.906,
2730,2/21/2019 11:30,68.763,
2731,2/21/2019 12:00,68.934,
2732,2/21/2019 12:30,69.449,
2733,2/21/2019 13:00,68.248,
2734,2/21/2019 13:30,67.906,
2735,2/21/2019 14:00,67.564,
2736,2/21/2019 14:30,68.934,
2737,2/21/2019 15:00,67.735,
2738,2/21/2019 15:30,67.221,
2739,2/21/2019 16:00,67.906,
2740,2/21/2019 16:30,69.278,
2741,2/21/2019 17:00,68.934,
2742,2/21/2019 17:30,71.512,
2743,2/21/2019 18:00,72.199,
2744,2/21/2019 18:30,72.199,
2745,2/21/2019 19:00,73.926,
2746,2/21/2019 19:30,71.683,
2747,2/21/2019 20:00,74.964,
2748,2/21/2019 20:30,74.619,
2749,2/21/2019 21:00,72.199,
2750,2/21/2019 21:30,71.512,
2751,2/21/2019 22:00,67.735,
2752,2/21/2019 22:30,67.564,
2753,2/21/2019 23:00,68.421,
2754,2/21/2019 23:30,70.308,
2755,2/22/2019 0:00,72.545,
2756,2/22/2019 0:30,69.964,
2757,2/22/2019 1:00,68.592,
2758,2/22/2019 1:30,69.278,
2759,2/22/2019 2:00,67.906,
2760,2/22/2019 2:30,70.48,
2761,2/22/2019 3:00,70.137,
2762,2/22/2019 3:30,68.763,
2763,2/22/2019 4:00,69.278,
2764,2/22/2019 4:30,67.735,
2765,2/22/2019 5:00,68.248,
2766,2/22/2019 5:30,67.906,
2767,2/22/2019 6:00,68.077,
2768,2/22/2019 6:30,68.248,
2769,2/22/2019 7:00,69.278,
2770,2/22/2019 7:30,68.421,
2771,2/22/2019 8:00,69.622,
2772,2/22/2019 8:30,70.48,
2773,2/22/2019 9:00,69.622,
2774,2/22/2019 9:30,70.995,
2775,2/22/2019 10:00,69.449,
2776,2/22/2019 10:30,72.545,
2777,2/22/2019 11:00,72.372,
2778,2/22/2019 11:30,73.407,
2779,2/22/2019 12:00,73.926,
2780,2/22/2019 12:30,72.199,
2781,2/22/2019 13:00,72.028,
2782,2/22/2019 13:30,73.407,
2783,2/22/2019 14:00,70.48,
2784,2/22/2019 14:30,68.421,
2785,2/22/2019 15:00,67.906,
2786,2/22/2019 15:30,68.934,
2787,2/22/2019 16:00,68.592,
2788,2/22/2019 16:30,70.308,
2789,2/22/2019 17:00,71.339,
2790,2/22/2019 17:30,72.028,
2791,2/22/2019 18:00,72.372,
2792,2/22/2019 18:30,72.545,
2793,2/22/2019 19:00,73.58,
2794,2/22/2019 19:30,72.028,
2795,2/22/2019 20:00,73.234,
2796,2/22/2019 20:30,69.964,
2797,2/22/2019 21:00,70.48,
2798,2/22/2019 21:30,69.964,
2799,2/22/2019 22:00,70.137,
2800,2/22/2019 22:30,68.763,
2801,2/22/2019 23:00,68.592,
2802,2/22/2019 23:30,69.107,
2803,2/23/2019 0:00,68.763,
2804,2/23/2019 0:30,68.763,
2805,2/23/2019 1:00,70.308,
2806,2/23/2019 1:30,68.077,
2807,2/23/2019 2:00,68.592,
2808,2/23/2019 2:30,68.592,
2809,2/23/2019 3:00,69.278,
2810,2/23/2019 3:30,69.449,
2811,2/23/2019 4:00,70.308,
2812,2/23/2019 4:30,68.421,
2813,2/23/2019 5:00,70.824,
2814,2/23/2019 5:30,68.763,
2815,2/23/2019 6:00,70.651,
2816,2/23/2019 6:30,71.683,
2817,2/23/2019 7:00,71.856,
2818,2/23/2019 7:30,71.168,
2819,2/23/2019 8:00,66.879,
2820,2/23/2019 8:30,69.793,
2821,2/23/2019 9:00,67.392,
2822,2/23/2019 9:30,67.221,
2823,2/23/2019 10:00,66.708,
2824,2/23/2019 10:30,67.221,
2825,2/23/2019 11:00,66.879,
2826,2/23/2019 11:30,66.537,
2827,2/23/2019 12:00,66.708,
2828,2/23/2019 12:30,67.221,
2829,2/23/2019 13:00,66.708,
2830,2/23/2019 13:30,66.193,
2831,2/23/2019 14:00,66.708,
2832,2/23/2019 14:30,66.022,
2833,2/23/2019 15:00,66.366,
2834,2/23/2019 15:30,66.879,
2835,2/23/2019 16:00,66.193,
2836,2/23/2019 16:30,66.879,
2837,2/23/2019 17:00,66.537,
2838,2/23/2019 17:30,66.537,
2839,2/23/2019 18:00,66.193,
2840,2/23/2019 18:30,66.193,
2841,2/23/2019 19:00,67.392,
2842,2/23/2019 19:30,70.137,
2843,2/23/2019 20:00,69.964,
2844,2/23/2019 20:30,68.248,
2845,2/23/2019 21:00,68.592,
2846,2/23/2019 21:30,69.278,
2847,2/23/2019 22:00,69.964,
2848,2/23/2019 22:30,69.622,
2849,2/23/2019 23:00,69.107,
2850,2/23/2019 23:30,70.995,
2851,2/24/2019 0:00,68.763,
2852,2/24/2019 0:30,67.735,
2853,2/24/2019 1:00,68.592,
2854,2/24/2019 1:30,67.392,
2855,2/24/2019 2:00,66.708,
2856,2/24/2019 2:30,70.308,
2857,2/24/2019 3:00,71.512,
2858,2/24/2019 3:30,71.856,
2859,2/24/2019 4:00,71.683,
2860,2/24/2019 4:30,72.028,
2861,2/24/2019 5:00,72.199,
2862,2/24/2019 5:30,72.028,
2863,2/24/2019 6:00,72.199,
2864,2/24/2019 6:30,72.199,
2865,2/24/2019 7:00,72.199,
2866,2/24/2019 7:30,72.199,
2867,2/24/2019 8:00,72.372,
2868,2/24/2019 8:30,72.372,
2869,2/24/2019 9:00,72.372,
2870,2/24/2019 9:30,72.545,
2871,2/24/2019 10:00,72.718,
2872,2/24/2019 10:30,72.891,
2873,2/24/2019 11:00,73.062,
2874,2/24/2019 11:30,73.407,
2875,2/24/2019 12:00,73.753,
2876,2/24/2019 12:30,73.234,
2877,2/24/2019 13:00,73.753,
2878,2/24/2019 13:30,73.926,
2879,2/24/2019 14:00,72.372,
2880,2/24/2019 14:30,71.168,
2881,2/24/2019 15:00,72.372,
2882,2/24/2019 15:30,73.58,
2883,2/24/2019 16:00,73.58,
2884,2/24/2019 16:30,74.098,
2885,2/24/2019 17:00,70.308,
2886,2/24/2019 17:30,70.824,
2887,2/24/2019 18:00,70.995,
