Plot,Title: Brazil: Sao Sebastiao,Sebastiao
#,"Date Time, GMT-05:00",End Of File (LGR S/N: 20462612)
997,1/15/2019 0:11,30
998,1/15/2019 1:11,29
999,1/15/2019 2:11,29
1000,1/15/2019 3:11,29
1001,1/15/2019 4:11,29
1002,1/15/2019 5:11,29
1003,1/15/2019 6:11,29
1004,1/15/2019 7:11,29
1005,1/15/2019 8:11,30
1006,1/15/2019 9:11,30
1007,1/15/2019 10:11,31
1008,1/15/2019 11:11,31
1009,1/15/2019 12:11,31
1010,1/15/2019 13:11,32
1011,1/15/2019 14:11,32
1012,1/15/2019 15:11,32
1013,1/15/2019 16:11,32
1014,1/15/2019 17:11,32
1015,1/15/2019 18:11,31
1016,1/15/2019 19:11,31
1017,1/15/2019 20:11,31
1018,1/15/2019 21:11,31
1019,1/15/2019 22:11,31
1020,1/15/2019 23:11,30
1021,1/16/2019 0:11,30
1022,1/16/2019 1:11,30
1023,1/16/2019 2:11,30
1024,1/16/2019 3:11,29
1025,1/16/2019 4:11,28
1026,1/16/2019 5:11,28
1027,1/16/2019 6:11,28
1028,1/16/2019 7:11,28
1029,1/16/2019 8:11,29
1030,1/16/2019 9:11,29
1031,1/16/2019 10:11,30
1032,1/16/2019 11:11,30
1033,1/16/2019 12:11,31
1034,1/16/2019 13:11,31
1035,1/16/2019 14:11,32
1036,1/16/2019 15:11,32
1037,1/16/2019 16:11,32
1038,1/16/2019 17:11,31
1039,1/16/2019 18:11,31
1040,1/16/2019 19:11,30
1041,1/16/2019 20:11,29
1042,1/16/2019 21:11,29
1043,1/16/2019 22:11,28
1044,1/16/2019 23:11,28
1045,1/17/2019 0:11,28
1046,1/17/2019 1:11,27
1047,1/17/2019 2:11,27
1048,1/17/2019 3:11,27
1049,1/17/2019 4:11,27
1050,1/17/2019 5:11,27
1051,1/17/2019 6:11,27
1052,1/17/2019 7:11,28
1053,1/17/2019 8:11,28
1054,1/17/2019 9:11,29
1055,1/17/2019 10:11,30
1056,1/17/2019 11:11,30
1057,1/17/2019 12:11,31
1058,1/17/2019 13:11,31
1059,1/17/2019 14:11,32
1060,1/17/2019 15:11,32
1061,1/17/2019 16:11,32
1062,1/17/2019 17:11,31
1063,1/17/2019 18:11,31
1064,1/17/2019 19:11,30
1065,1/17/2019 20:11,30
1066,1/17/2019 21:11,30
1067,1/17/2019 22:11,30
1068,1/17/2019 23:11,29
