"Plot Title: Santa Barbara PanAmEx"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20350660, SEN S/N: 20350660)","End Of File (LGR S/N: 20350660, SEN S/N: 20350660)"
1,06/09/18 11:00:00 AM,21.664,
2,06/09/18 11:30:00 AM,21.760,
3,06/09/18 12:00:00 PM,21.855,
4,06/09/18 12:30:00 PM,21.951,
5,06/09/18 01:00:00 PM,22.046,
6,06/09/18 01:30:00 PM,22.142,
7,06/09/18 02:00:00 PM,22.238,
8,06/09/18 02:30:00 PM,22.333,
9,06/09/18 03:00:00 PM,22.429,
10,06/09/18 03:30:00 PM,22.525,
11,06/09/18 04:00:00 PM,22.621,
12,06/09/18 04:30:00 PM,22.812,
13,06/09/18 05:00:00 PM,22.908,
14,06/09/18 05:30:00 PM,23.004,
15,06/09/18 06:00:00 PM,23.100,
16,06/09/18 06:30:00 PM,23.100,
17,06/09/18 07:00:00 PM,23.196,
18,06/09/18 07:30:00 PM,23.196,
19,06/09/18 08:00:00 PM,23.196,
20,06/09/18 08:30:00 PM,23.196,
21,06/09/18 09:00:00 PM,23.196,
22,06/09/18 09:30:00 PM,23.196,
23,06/09/18 10:00:00 PM,23.100,
24,06/09/18 10:30:00 PM,23.100,
25,06/09/18 11:00:00 PM,23.100,
26,06/09/18 11:30:00 PM,23.004,
27,06/10/18 12:00:00 AM,22.908,
28,06/10/18 12:30:00 AM,22.908,
29,06/10/18 01:00:00 AM,22.812,
30,06/10/18 01:30:00 AM,22.812,
31,06/10/18 02:00:00 AM,22.717,
32,06/10/18 02:30:00 AM,22.621,
33,06/10/18 03:00:00 AM,22.621,
34,06/10/18 03:30:00 AM,22.525,
35,06/10/18 04:00:00 AM,22.429,
36,06/10/18 04:30:00 AM,22.429,
37,06/10/18 05:00:00 AM,22.333,
38,06/10/18 05:30:00 AM,22.238,
39,06/10/18 06:00:00 AM,22.238,
40,06/10/18 06:30:00 AM,22.238,
41,06/10/18 07:00:00 AM,22.142,
42,06/10/18 07:30:00 AM,22.142,
43,06/10/18 08:00:00 AM,22.142,
44,06/10/18 08:30:00 AM,22.046,
45,06/10/18 09:00:00 AM,22.046,
46,06/10/18 09:30:00 AM,21.951,
47,06/10/18 10:00:00 AM,21.951,
48,06/10/18 10:30:00 AM,22.046,
49,06/10/18 11:00:00 AM,22.142,
50,06/10/18 11:30:00 AM,22.142,
51,06/10/18 12:00:00 PM,22.238,
52,06/10/18 12:30:00 PM,22.333,
53,06/10/18 01:00:00 PM,22.429,
54,06/10/18 01:30:00 PM,22.525,
55,06/10/18 02:00:00 PM,22.621,
56,06/10/18 02:30:00 PM,22.621,
57,06/10/18 03:00:00 PM,22.717,
58,06/10/18 03:30:00 PM,22.908,
59,06/10/18 04:00:00 PM,23.004,
60,06/10/18 04:30:00 PM,23.100,
61,06/10/18 05:00:00 PM,23.196,
62,06/10/18 05:30:00 PM,23.196,
63,06/10/18 06:00:00 PM,23.292,
64,06/10/18 06:30:00 PM,23.292,
65,06/10/18 07:00:00 PM,23.292,
66,06/10/18 07:30:00 PM,23.292,
67,06/10/18 08:00:00 PM,23.292,
68,06/10/18 08:30:00 PM,23.196,
69,06/10/18 09:00:00 PM,23.196,
70,06/10/18 09:30:00 PM,23.100,
71,06/10/18 10:00:00 PM,23.100,
72,06/10/18 10:30:00 PM,23.004,
73,06/10/18 11:00:00 PM,22.908,
74,06/10/18 11:30:00 PM,22.908,
75,06/11/18 12:00:00 AM,22.812,
76,06/11/18 12:30:00 AM,22.717,
77,06/11/18 01:00:00 AM,22.621,
78,06/11/18 01:30:00 AM,22.525,
79,06/11/18 02:00:00 AM,22.525,
80,06/11/18 02:30:00 AM,22.429,
81,06/11/18 03:00:00 AM,22.429,
82,06/11/18 03:30:00 AM,22.333,
83,06/11/18 04:00:00 AM,22.238,
84,06/11/18 04:30:00 AM,22.238,
85,06/11/18 05:00:00 AM,22.142,
86,06/11/18 05:30:00 AM,22.142,
87,06/11/18 06:00:00 AM,22.046,
88,06/11/18 06:30:00 AM,22.046,
89,06/11/18 07:00:00 AM,21.951,
90,06/11/18 07:30:00 AM,21.951,
91,06/11/18 08:00:00 AM,21.855,
92,06/11/18 08:30:00 AM,21.855,
93,06/11/18 09:00:00 AM,21.855,
94,06/11/18 09:30:00 AM,21.855,
95,06/11/18 10:00:00 AM,21.855,
96,06/11/18 10:30:00 AM,21.855,
97,06/11/18 11:00:00 AM,21.951,
98,06/11/18 11:30:00 AM,22.046,
99,06/11/18 12:00:00 PM,22.142,
100,06/11/18 12:30:00 PM,22.142,
101,06/11/18 01:00:00 PM,22.238,
102,06/11/18 01:30:00 PM,22.333,
103,06/11/18 02:00:00 PM,22.429,
104,06/11/18 02:30:00 PM,22.525,
105,06/11/18 03:00:00 PM,22.621,
106,06/11/18 03:30:00 PM,22.717,
107,06/11/18 04:00:00 PM,22.908,
108,06/11/18 04:30:00 PM,23.004,
