Treat,Treatment,Plate,Block,ST17,STR,COL,OAX,LPZ,FTP,CCH,STB,SFO,DEL,MAS,COO,DAR,NFL,HAK,SI17,COR,SF17,YUC,COS,PTA,SSB,COQ,USH,NAT,PTM,CCP,MDP,CRU,PML,FTL,FLO,PMA,RDJ,ADC,BO19,ECU2
3,3.part.cage,1,A,109,40.5,74.78,110,32,113,146,,228,224,1013.8,,27.16,25.57,203.4,185,44,72,35.7,77,18,38,305,21,71,765,74,147.3,11.9,280,163,105,193,64.9,212.37,336.07,70
4,4.cage.expo,2,A,71.3,37.5,56.7,100,28,163,220,109,299,,2771,,21.31,36.54,173.1,170,34,95,24.8,77,,46,2025,18,205,950,30,115.3,12.45,,170,46,216.4,34.1,190.17,26.94,70
1,1.open.ctrl,3,A,97.9,,45.92,147,34,48,63,44,126,,1403.1,,26.88,31.03,577.6,71,33,90,37,47,20,39,20,12,106,1140,50,160.4,,1120,123,170,159.7,79.4,151.72,122.24,
2,2.full.cage,4,A,406,259.2,,422,250,321,288,66,288,,1922.3,,922.62,33.23,106.8,125,30,91,1199,87,26,295,1725,17,83,1100,558,431.9,66.02,1605,260,156,192.6,30.2,190.49,321.26,150
3,3.part.cage,5,B,200.6,41.9,,207,49,,,159,153,,740.8,,25.01,32.96,486.8,93,40,54,40.2,109,20,43,470,22,76,960,125,171.8,11.85,500,,129,322,36,238.27,40.2,50
4,4.cage.expo,6,B,84.6,,72.38,114,29,137,53,88,119,,938.8,,18.85,26.84,184.3,152,28,70,45.6,37,22,105,2695,18,103,805,278,289.3,26.62,1115,,34,223.9,32.2,190.7,330.04,90
1,1.open.ctrl,7,B,105.4,36.2,56.74,212,40,70,63,143,104,127,919,,22.66,28.04,219.1,242,97,111,30,,22,47,40,18,,1075,48,195.1,13.6,300,,151,201.7,31.1,58.11,65.4,30
2,2.full.cage,8,B,258.4,,83.03,514,234,435,207,127,296,268,719.2,,657.42,32.17,271.3,280,50,76,952.5,62,21,,3185,19,120,675,278,249.1,65.82,1250,,131,420.1,172.8,367.22,289.23,70
2,2.full.cage,9,C,353.1,,129.57,438,347,485,290,94,310,241,2018.3,,561.02,34.84,468.8,188,47,55,1389,121,22,,3190,19,292,800,538,279.4,80.01,1295,148,186,207.1,28.4,318.37,198.18,130
3,3.part.cage,10,C,103.8,37.4,51.82,80,40,58,202,87,180,235,1518.8,,23.88,35.5,64.5,130,34,63,,155,17,,290,23,59,765,254,376.6,12.43,,162,108,192.5,33.6,142.57,3.2,50
4,4.cage.expo,11,C,89.2,37.5,54.46,159,33,84,81,118,112,174,1957.2,,18.1,25.15,54.6,249,38,65,23.3,104,24,,2325,12,,580,478,180,11.06,,152,27,335.3,32,57.14,23.66,90
1,1.open.ctrl,12,C,89.7,34.9,72.83,228,38,41,51,131,100,111,1290.9,,21.07,26.73,148.1,301,87,70,33.3,51,13,36,40,13,145,810,110,558.2,41.21,,,142,240.5,49.9,67.87,39.26,50
4,4.cage.expo,13,D,102.4,37.5,52.48,127,31,39,45,97,85,197,1469.7,,19.33,37.21,266.4,211,45,64,63.7,60,,64,2605,19,259,1025,156,690.7,12.02,,195,30,99.1,33.4,126.13,198.02,70
1,1.open.ctrl,14,D,109.4,31.2,52.67,151,39,42,83,129,78,142,1678.9,,32.31,40.88,384.8,147,43,107,36,55,19,41,55,18,90,895,346,1124.97,12.61,,171,149,198.8,30,76.27,55.15,30
2,2.full.cage,15,D,270.1,239.6,,649,348,200,284,109,258,194,1498.2,,1128.84,33.19,477.4,210,54,77,1390,81,,160,3255,20,144,785,298,401,142.3,,147,205,156.6,34.6,296.81,218.63,90
3,3.part.cage,16,D,131.6,42.5,70.23,191,34,43,89,54,54,88,1083,,26.27,26.48,648.8,224,38,74,37.6,94,28,34,225,19,,945,68,1230.2,21.74,215,170,108,262.2,39,131.9,66.48,50
1,1.open.ctrl,17,E,96.2,31.7,90.71,253,42,48,90,62,77,118,1449.6,99,35.27,35.05,151.6,173,62,95,38.5,103,19,38,130,13,146,995,126,339,20.42,45,140,90,83.1,40.9,52.93,77.76,30
2,2.full.cage,18,E,240.5,206.1,,665,348,348,508,209,239,251,683.1,,49.92,29.8,413.4,325,87,66,1377,93,26,170,3175,19,125,835,208,923.5,43.34,,,236,247.4,30.41,311.26,155.95,70
3,3.part.cage,19,E,117.8,52.4,22.08,260,38,47,80,88,148,103,1081.8,158,23.43,31.27,622.9,142,48,57,41.2,119,21,42,300,19,100,760,309,730.1,11.4,1140,244,102,215.9,37.1,265.67,48.45,50
4,4.cage.expo,20,E,85.4,29.6,59.63,105,33,85,109,108,71,192,1708,327,20.04,23.54,131.6,195,45,45,24.6,111,14,39,2780,19,,695,672,221.6,21.38,1670,251,26,147.6,30,165.24,56.12,80
1,1.open.ctrl,21,F,86.5,31.6,48.35,211,47,50,80,58,69,155,1079.6,400,29.35,23.89,370.7,196,42,67,,68,21,51,115,20,118,945,76,729.1,20.57,,136,,236.5,39.9,83.96,251.56,50
2,2.full.cage,22,F,211,,,296,317,570,452,145,215,217,774.4,156,1701.85,33.55,118.5,173,33,60,1427,81,23,264,2905,12,,950,412,526.2,45.97,1495,176,220,92.5,67.7,373.05,257.43,160
3,3.part.cage,23,F,178.6,38.8,42.29,226,49,46,84,84,190,111,1618.8,266,21.59,20.81,89.4,192,70,48,42.5,115,18,37,340,24,65,510,58,560.2,11.58,,,147,138.8,30.9,185.31,74.96,70
4,4.cage.expo,24,F,97.7,30.7,76.32,97,35,104,79,39,232,171,1785.8,400,17.05,,61.8,255,27,44,22.7,81,23,40,2840,19,59,,110,364.6,19.22,1295,175,,143.2,46.2,135.1,354.4,50
3,3.part.cage,25,G,150.2,27.2,,113,50,52,75,80,228,183,1609.3,285,28.76,21.16,537.3,153,81,54,43.2,125,19,56,535,18,70,,184,215.3,11.82,700,158,96,138.8,38.7,289.06,41.67,70
1,1.open.ctrl,26,G,151.1,29.3,84.29,253,46,47,76,106,128,130,562.8,411,28.22,22.17,130.6,63,58,101,42.8,85,16,41,180,19,108,910,,589.5,21.4,,,101,208.8,69.4,69.02,46.88,50
4,4.cage.expo,27,G,119.1,35.4,37.82,317,34,86,124,74,102,160,1089.4,364,19.79,23.71,59.9,108,49,50,29.8,63,21,35,2885,21,74,,308,192.2,28.8,,222,38,138.6,55.6,73.11,283.96,70
2,2.full.cage,28,G,310.1,269.4,,553,411,407,647,93,181,184,1024.6,100,1037.27,31.72,177.5,249,35,63,1275,75,24,255,3285,21,104,,202,235.3,11.06,,157,138,198.9,50.2,312,355.37,70
2,2.full.cage,29,H,294.2,232.3,126.07,320,748,217,335,75,138,204,1829.8,95,812.19,38,73.2,158,41,56,1217,104,25,188,3460,23,302,,38,481.5,58.79,,204,,171.2,73.6,377.86,315.82,80
4,4.cage.expo,30,H,108.7,30.9,43.51,227,57,156,170,99,91,153,1216,216,15.15,27.63,118.4,120,26,56,31.2,55,,55,3050,21,97,515,248,158.9,,145,,30,125.2,48,140.99,158.26,70
1,1.open.ctrl,31,H,108.3,41,49.75,215,32,68,,60,77,97,1121.6,332,30.1,17.98,187.6,58,34,98,34.7,71,21,43,325,20,65,955,14,70.4,,120,86,85,173.5,65,50.82,41.23,50
3,3.part.cage,32,H,194.2,40.3,80.49,166,37,140,65,87,115,315,1458.4,261,22.99,19.44,178.7,101,25,48,39.5,97,21,52,265,20,118,780,502,26,,,135,145,133.1,62.1,168.02,65.12,60
